gauge_id,q_mean,runoff_ratio,slope_fdc,baseflow_index,stream_elas,q5,q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,hfd_mean,geol_1st_class,glim_1st_class_frac,carbonate_rocks_frac,geol_porostiy,geol_permeability,p_mean,pet_mean,p_seasonality,frac_snow,aridity,high_prec_freq,high_prec_dur,high_prec_timing,low_prec_freq,low_prec_dur,low_prec_timing,gauge_lat,gauge_lon,elev_mean,area_gages2,area_geospa_fabric,soil_depth_pelletier,soil_depth_statsgo,max_water_content,sand_frac,silt_frac,clay_frac,water_frac,organic_frac,other_frac,frac_forest,lai_max,gvf_max,dom_land_cover_frac,dom_land_cover,root_depth_50,root_depth_99,ri_5,ri_10,ri_50,ri_500
1466500,0.853262,0.241046,0.969017,0.837327,0.225542,0.395636,1.637114,0.2,2,0,0,0,181.15,7,1,0,0.22,-13,3.539837,3.059821,0.060312,0.062662,0.864396,23.45,1.257373,1,257.65,4.48087,4,39.885,-74.50528,38.94,5.38,6.25,49.636364,1.5,0.602852,83.366426,6.719468,3.180636,0,0,6.509135,1,4.196265,0.823159,1,1,0.25,2.4,19,23,43,82
10244950,0.456547,0.34579,0.806192,0.834,1.466961,0.182192,1.214612,2,20,0,0,0,218.7,4,0.801314,0.801314,0.0787,-12.461,1.3203,3.445963,-0.33957,0.656356,2.609985,31.1,1.757062,1,305.4,10.095868,3,39.20154,-114.68916,2404.47,28.2,28.92,0.653061,0.756788,0.320774,37.027737,43.565146,16.483394,0,0,2.700729,0.0622,0.761098,0.333888,1,5,0.12,1.5,33,42,81,163
10172800,1.368262,0.703951,1.174732,0.723371,1.489173,0.375716,4.86221,6.7,4.785714,0,0,0,235,7,0.363506,0.187685,0.1938,-12.6177,1.943691,3.446788,-0.35364,0.472831,1.773321,24.7,1.403409,1,277.15,7.061146,3,40.49633,-112.5744,2085.87,11.07,76.51,1.552,0.57734,0.248256,35.163303,29.612014,13.372886,0,0,0,0.0366,1.169517,0.442682,1,5,0.12,1.5,57,82,121,202
9378630,0.210643,0.133275,0.168888,0.497448,4.293214,0,1.338338,87.1,35.55102,277.15,108.686275,0.384394,210.45,1,0.810585,0,0.1564,-14.9889,1.58052,2.968856,-0.229491,0.503089,1.878404,29.5,1.730205,1,304.15,9.504687,3,37.75555,-109.47651,2125.1,10.42,11.6,0.55,1.350367,0.51636,49.93962,27.25108,16.636842,0,0,6.176724,0.2678,1.740064,0.578654,0.760344,4,0.165621,1.5,32,75,163,401
13018300,1.000693,0.448945,0.955965,0.688058,1.406788,0.245534,3.683017,9.4,9.894737,7.35,7.736842,0,246.75,1,0.357336,0.303308,0.1705,-13.0981,2.22899,3.332783,-0.472201,0.657119,1.495199,18.15,1.440476,1,250.55,5.64938,3,43.45215,-110.70409,2197.93,27.9,29.47,0.686275,0.715788,0.151264,25.182287,20.587936,10.739164,0,0,43.420436,0.8095,2.309625,0.692229,0.563766,11,0.148188,1.66913,112,153,202,292
9066300,0.842999,0.334279,0.628997,0.467679,1.630506,0.036257,5.044486,57.55,41.107143,191.3,34.160714,0.001506,253.5,1,0.679596,0,0.1949,-13.0611,2.521845,3.748451,-0.287301,0.688317,1.486392,15.6,1.380531,1,241.2,4.819181,3,39.64582,-106.38225,2943.62,15.52,15.68,0.482759,1.5,0.532049,52.347461,27.134413,9.140576,0,0,11.325111,0.7632,2.248846,0.6624,0.643434,11,0.152172,1.69303,93,114,181,275
9047700,0.670295,0.330057,0.750826,0.659172,1.863735,0.166081,2.59501,12,12,1.9,5.428571,0,238,3,0.994983,0,0.0111,-14.0945,2.030849,3.909289,-0.073416,0.626945,1.924953,12.45,1.353261,1,236.55,4.922997,4,39.59443,-105.97252,3333.84,23.57,24.37,0.45,1.5,0.48756,47.337151,25.30189,8.621537,0,0,18.739946,0.7022,1.486089,0.555913,0.581673,5,0.140916,1.625498,71,97,172,303
10023000,0.213161,0.137474,1.322857,0.83438,1.960735,0.035361,0.669989,3.7,10.571429,27.6,12.837209,0,201.05,1,0.837172,0.085509,0.2482,-12.4788,1.550552,2.642887,-0.420761,0.548429,1.704481,23.3,1.366569,1,270.9,6.639706,3,41.60994,-111.25409,2257.51,131.46,147.45,1.114407,1.234621,0.504603,35.86341,38.237117,18.062762,0,0,7.835724,0.1959,1.028942,0.404785,0.863168,5,0.12778,1.538657,109,131,240,410
13083000,0.247989,0.160782,0.673432,0.837022,0.76492,0.137778,0.532743,0,0,1.05,7,0,197.95,1,0.530253,0.020304,0.148,-13.5201,1.542396,3.250476,-0.529292,0.487108,2.10742,25.35,1.428169,1,279.75,7.200772,3,42.16583,-113.98361,1862.77,133.18,181.85,1.037415,1.284286,0.575427,33.516819,40.599817,25.852649,0,0,0,0.0079,1.055002,0.428496,1,5,0.12,1.5,82,109,205,412
10310500,0.328793,0.223491,1.427498,0.808386,1.206247,0.069389,0.929315,0.55,2.75,13.85,10.259259,0,168.75,2,0.923871,0,0.0245,-14.0105,1.471169,3.929243,-1.117476,0.498158,2.67083,25.65,1.78125,1,307.6,11.945631,3,39.11324,-119.79824,1900.8,39.49,47.65,0.72,0.669144,0.14328,44.603433,5.201098,3.259982,0,0,46.285566,0.7131,1.100565,0.444829,0.439196,4,0.158466,1.549141,66,114,239,614
