Z01121000                       USGS 
H01121000       4150370721010000909015SW0110000228.6           334.70           
N01121000       MOUNT HOPE RIVER NEAR WARRENVILLE, CT
Y01121000       
301121000       193809                        14.50Bd                   
301121000       19410208   1090                7.00                    
301121000       19420309    814                6.48                    
301121000       19421230    814                6.48                    
301121000       19440915    950                6.96                    
301121000       19450101    767                6.30                    
301121000       19451226    469                4.75                    
301121000       19470314    486                4.77                    
301121000       19480320    767                6.36                    
301121000       19490106    444                4.50                    
301121000       19500309    646                5.69                    
301121000       19510207   1610                7.79                    
301121000       19511221   1190                7.15                    
301121000       19530316    990                6.82                    
301121000       19540911   3250                9.20                    
301121000       19550819   5590               10.41                    
301121000       19551105    920                6.66                    
301121000       19570123    550                6.251                   
301121000       19580406    528                5.45                    
301121000       19590403   1690                7.90                    
301121000       19600331   1140                7.05                    
301121000       19610226    960                6.59                    
301121000       19620401    920                6.51                    
301121000       19630326    565                5.45                    
301121000       19640125    820                6.25                    
301121000       19650225    415                4.902                   
301121000       19660214    550                5.54                    
301121000       19670526    648                5.91                    
301121000       19680318   1410                7.55                    
301121000       19690325   1210                7.23                    
301121000       19700203   2250                8.47                    
301121000       19710912    610                5.78                    
301121000       19720303   1450                7.60                    
301121000       19730203   1340                7.45                    
301121000       19731221   1890                8.12                    
301121000       19741209    771                6.07                    
301121000       19760127   1200                7.15                    
301121000       19770313    807                6.19                    
301121000       19780126   17309               9.511                   
301121000       19790125   3080                9.09                    
301121000       19800322   2340                8.54                    
301121000       19810220    819                6.23                    
301121000       19820606   2720                8.85                    
301121000       19830420   1060                6.84                    
301121000       19840531   1300                7.31                    
301121000       19850801    491                4.81                    
301121000       19860127    791                6.14                    
301121000       19870401   1350                7.42                    
301121000       19880724    788                6.13                    
301121000       19890813   2320                8.53                    
301121000       19891020   1490                7.65                    
301121000       19910819    882                6.43                    
301121000       19920327    701                5.77                    
301121000       19930329   1300                7.33                    
301121000       19931205    928                6.54                    
301121000       19950309    607                5.33                    
301121000       19960416   3220                8.86                    
301121000       19961202   1280                6.81                    
301121000       19980309   2790                8.50                    
301121000       19990202   1150                6.61                    
301121000       20000422   1300                6.84                    
301121000       20010322   1280                6.81                    
301121000       20020513    645                5.21                    
301121000       20030526    813                5.81                    
301121000       20040414   1330                6.88                    
301121000       20050403   1040                6.56                    
301121000       20051015   5000               10.15                    
301121000       20070416   1350                7.30                    
301121000       20080213   1490                7.58                    
301121000       20081212   2480                8.66                    
301121000       20100330   1750                7.92                    
301121000       20110307   2450                8.49                    
301121000       20111208    979                6.45                    
301121000       20130608   1330                7.17                    
301121000       20140330   1420                7.33                    
301121000       20150421    463                4.65                    
301121000       20160225    715                5.69                    
301121000       20170407    691                5.64                    
301121000       20180926   1490                7.44                    
301121000       20190124   1640                7.66                    
