Z01123000                       USGS 
H01123000       4140180720310000909015SW0110000230.0           221.19           
N01123000       LITTLE RIVER NEAR HANOVER, CT
Y01123000       
301123000       19360312   145027                                      
301123000       19380921   210027                          1886          
301123000       19511221    865                5.08                    
301123000       19530125    830                5.05                    
301123000       19540912    935                5.31                    
301123000       19550819   1400                6.48                    
301123000       19551016   1220                6.04                    
301123000       19570406    545                4.10                    
301123000       19580126    500                3.95                    
301123000       19590306   1240                6.12                    
301123000       19591213    590                4.27                    
301123000       19610226    860                5.14                    
301123000       19620402    580                4.42                    
301123000       19630212    342                3.56                    
301123000       19640126    671                4.66                    
301123000       19650226    466                4.02                    
301123000       19660214    454                3.982                   
301123000       19670526    728                4.82                    
301123000       19680318   1360                6.38                    
301123000       19690325   1430                6.55                    
301123000       19700403   1710                7.02                    
301123000       19710214    430                3.90                    
301123000       19720303   1330                6.32                    
301123000       19730203   1570                6.80                    
301123000       19740122   1030                5.57                    
301123000       19750320    460                4.00                    
301123000       19760128   1320                6.29                    
301123000       19770323    484                4.08                    
301123000       19780126   2080                7.72                    
301123000       19790125   1860                7.33                    
301123000       19800322   1040                5.61                    
301123000       19810224    548                4.35                    
301123000       19820606   2450                8.31                    
301123000       19830425   1140                5.85                    
301123000       19840531   1070                5.74                    
301123000       19850731    371                3.68                    
301123000       19860315    777                4.99                    
301123000       19870401   1550                6.49                    
301123000       19880327    655                4.68                    
301123000       19881121    682                4.58                    
301123000       19891021   1040                5.51                    
301123000       19901014   1260                6.02                    
301123000       19920327    406                3.81                    
301123000       19930330    870                4.88                    
301123000       19940129    912                4.98                    
301123000       19941224    335                3.54                    
301123000       19960417   1210                5.81                    
301123000       19961020    718                4.68                    
301123000       19980310   1200                5.77                    
301123000       19990203    760                4.81                    
301123000       20000422    52012                                      
301123000       20010618   1930                7.06                    
301123000       20020514    324                3.55                    
301123000       20030527    649                4.54                    
301123000       20040414   1720                6.67                    
301123000       20050403    714                4.71                    
301123000       20051015   1080                5.54                    
301123000       20070416   1600                6.47                    
301123000       20080214   1180                5.72                    
301123000       20081212   1930                6.97                    
301123000       20100330   1950                7.00                    
301123000       20110307   1490                6.28                    
301123000       20111208   1010                5.39                    
301123000       20130725   1200                5.76                    
301123000       20140330   1100                5.48                    
301123000       20150421    647                4.39                    
301123000       20160407    384                3.68                    
301123000       20170713    868                4.85                    
