Z01142500                       USGS 
H01142500       4356040723930005033017SW0108010530.5           630.50           
N01142500       AYERS BROOK AT RANDOLPH, VT
Y01142500       
301142500       192711                        16.00Bd                   
301142500       19400521    965                5.13                    
301142500       19401229    302                3.27                    
301142500       19420416    640                4.28                    
301142500       19430512    454                3.82                    
301142500       19440410   1040                5.31                    
301142500       19450426    722                4.63                    
301142500       19460309    718                4.62                    
301142500       19470603   1310                5.76                    
301142500       19480322    790                4.82                    
301142500       19481231   1650                6.41                    
301142500       19500405    608                3.72                    
301142500       19501205    696                3.94                    
301142500       19520601   2280                7.58                    
301142500       19530324    823                4.45                    
301142500       19540408    534                3.61                    
301142500       19550410    758                4.13                    
301142500       19560430    691                3.98                    
301142500       19570123    420                                        
301142500       19571221    795                4.37                    
301142500       19590408    606                3.79                    
301142500       19591128   1070                5.10                    
301142500       19610423    469                3.44                    
301142500       19620407   1020                4.63                    
301142500       19630403    510                3.53                    
301142500       19640305   12002               6.911                   
301142500       19650412    139                2.8026                   
301142500       19660325    348                3.89                    
301142500       19670403    756                5.22                    
301142500       19680322    739                5.16                    
301142500       19690419    995                5.73                    
301142500       19700425    625                4.77                    
301142500       19710504    656                4.86                    
301142500       19720504   1100                6.18                    
301142500       19730630   2600                9.12                    
301142500       19731221    717                5.09                    
301142500       19750424    407                3.94                    
301142500       19760810    666                6.42                    
301142500       19770314    639                6.33                    
301142500       19771017    587                6.15                    
301142500       19790325    641                6.262                   
301142500       19800410    452                5.532                   
301142500       19810513   1170                8.26                    
301142500       19820418    633                6.17                    
301142500       19830504   1050                7.86                    
301142500       19831213    685                6.40                    
301142500       19850312    424                5.18                    
301142500       19860330    900                                        
301142500       19870331   1230                8.43                    
301142500       19880428    447                5.30                    
301142500       19890805    882                7.22                    
301142500       19891021    655                6.27                    
301142500       19901024    688                6.41                    
301142500       19920311    886                6.49                    
301142500       19930330    589                5.54                    
301142500       19940416   1040                6.98                    
301142500       19950121    285                4.48                    
301142500       19960127    873                6.51                    
301142500       19961021    657                5.73                    
301142500       19980627   2840               11.93                    
301142500       19990401    627                5.76                    
301142500       20000404    748                6.14                    
301142500       20001217   1200                7.38                    
301142500       20020414   1460                8.01                    
301142500       20030329    597                5.66                    
301142500       20031120    745                6.13                    
301142500       20050403    955                6.74                    
301142500       20060118    859                6.47                    
301142500       20070711   1990                9.50                    
301142500       20080412    937                6.69                    
301142500       20090404    530                5.43                    
301142500       20100323    832                6.26                    
301142500       20110828   3920               15.04                    
301142500       20120309    472                5.19                    
301142500       20130704   1720                8.74                    
301142500       20140415   1020                6.84                    
301142500       20150414    456                5.08                    
301142500       20160225    968                6.712                   
301142500       20170701   1190                7.31                    
301142500       20180426    432                4.98                    
301142500       20190415   2050                9.68                    
