Z01187300                       USGS 
H01187300       4202150725621000909003SW0108020719.9           594.57           
N01187300       HUBBARD RIVER NEAR WEST HARTLAND, CT
Y01187300       
301187300       19380921   13301                                       
301187300       19381206    2131                                       
301187300       19400409    4701                                       
301187300       19410208    1741                                       
301187300       19420309    4221                                       
301187300       19421125    4351                                       
301187300       19431109    7451                                       
301187300       19450616    5981                                       
301187300       19460528    6221                                       
301187300       19470526    5221                                       
301187300       19480322    8551                                       
301187300       19481231   23101                                       
301187300       19500329    3401                                       
301187300       19501126   12001                                       
301187300       19520601    6101                                       
301187300       19530313    7061                                       
301187300       19540911    7001                                       
301187300       19550819  10500               16.50                    
301187300       19570123    510                4.70                    
301187300       19580406    790                5.70                    
301187300       19590402   1300                6.88                    
301187300       19600912   1300                6.92                    
301187300       19610226    730                5.50                    
301187300       19620401   1180                6.65                    
301187300       19630327    420                4.26                    
301187300       19640125    466                4.482                   
301187300       19650416    177                2.88                    
301187300       19660325    317                3.76                    
301187300       19670402    423                4.29                    
301187300       19680529   1660                7.56                    
301187300       19690805   2040                8.14                    
301187300       19700402    844                5.86                    
301187300       19710413    445                4.40                    
301187300       19720630   1480                7.27                    
301187300       19730203   1100                6.50                    
301187300       19731221   2860                9.18                    
301187300       19750926   2040                8.14                    
301187300       19760128    940                6.10                    
301187300       19770330    766                5.62                    
301187300       19780109   1620                7.50                    
301187300       19790306   1350                7.58                    
301187300       19800321   4710               11.21                    
301187300       19810220   12002                                       
301187300       19820605   1480                7.25                    
301187300       19830419   1690                7.61                    
301187300       19840405   1410                7.14                    
301187300       19850927   2970                9.31                    
301187300       19860126    961                5.78                    
301187300       19870404   3320                9.71                    
301187300       19880326    489                4.32                    
301187300       19881120   1160                6.03                    
301187300       19891020   2120                8.18                    
301187300       19901024   1490                6.87                    
301187300       19920606   1710                7.55                    
301187300       19930417    977                5.69                    
301187300       19931221    711                5.03                    
301187300       19941224   1270                6.37                    
301187300       19960127   1620                7.17                    
301187300       19961020   1280                6.39                    
301187300       19980510   1080                5.92                    
301187300       19990916   1900                7.82                    
301187300       20000607   1410                6.69                    
301187300       20001217   1320                6.49                    
301187300       20020514    585                4.69                    
301187300       20030928    992                5.72                    
301187300       20040918   1140                6.04                    
301187300       20050403   1690                7.30                    
301187300       20060118   1420                6.80                    
301187300       20070416   2950                9.24                    
301187300       20080907   1170                6.28                    
301187300       20081212   1090                6.09                    
301187300       20100330   1480                6.91                    
301187300       20110828   4420               11.01                    
301187300       20111208    991                5.86                    
301187300       20121221    987                5.85                    
301187300       20140813   1360                6.67                    
301187300       20141209   1220                6.37                    
301187300       20160225   1590                7.11                    
