Z01365000                       USGS 
H01365000       4151590742914003636105SW0202000738.3   38.3    874.68           
N01365000       RONDOUT CREEK NEAR LOWES CORNERS NY
Y01365000       
301365000       19370222   4200                6.003                   
301365000       19380722   7600                8.203       1928          
301365000       19381206   1870                4.4736                   
301365000       19400408   2230                4.833                   
301365000       19401228   1340                3.933                   
301365000       19411224   3270                5.383                   
301365000       19421230   1180                3.553                   
301365000       19440914   2270                4.663                   
301365000       19450719   3080                5.253                   
301365000       19460309   1100                3.463                   
301365000       19470406   1140                3.553                   
301365000       19480322   2400                4.723                   
301365000       19481230   4250                5.7236                   
301365000       19500404   1160                4.123                   
301365000       19510330   7200                9.6036                   
301365000       19520710   7430                9.193                   
301365000       19521211   3680                7.053                   
301365000       19540301    846                4.443                   
301365000       19550819   41809               8.023                   
301365000       19551015   6940               10.383                   
301365000       19570123    941                4.113                   
301365000       19571221   3960                7.403                   
301365000       19590402   1870                5.273                   
301365000       19591024   3680                7.123                   
301365000       19610425   1740                5.543                   
301365000       19620407   2130                5.973                   
301365000       19630327    952                4.773                   
301365000       19631107   2080                5.493                   
301365000       19650208   1270                4.5923                   
301365000       19660305   1000                4.373                   
301365000       19670402   1630                5.073                   
301365000       19680529   3040                6.4823                   
301365000       19690728   2390                5.833                   
301365000       19700402   1690                5.043                   
301365000       19701023   2480                5.923                   
301365000       19720622   50509               8.553                   
301365000       19721108   2790                6.293                   
301365000       19731221   3340                7.053                   
301365000       19741208   2800                6.6723                   
301365000       19760127   30002                                       
301365000       19770313   4690                8.593                   
301365000       19771001   3540                7.643                   
301365000       19790906   3130                7.353                   
301365000       19800321   6800               10.503                   
301365000       19810220   4630                8.143                   
301365000       19820418   2490                6.013                   
301365000       19830416   2180                6.113                   
301365000       19840405   6410                8.873                   
301365000       19850927   1660                5.613                   
301365000       19860315   2220                6.123                   
301365000       19870404   6610                9.873                   
301365000       19880522   1100                5.163                   
301365000       19890506   3270                7.303                   
301365000       19891020   20002                                       
301365000       19901110   1900                6.223                   
301365000       19920606   2220                6.483                   
301365000       19930410   22002               6.5035                   
301365000       19931128   3360                7.373                   
301365000       19950308   2030                6.333                   
301365000       19960119   4950                8.613                   
301365000       19961202   2310                7.553                   
301365000       19980614   2780                8.063                   
301365000       19990916   21809               7.413                   
301365000       20000714   5550               10.583                   
301365000       20001217   3420                8.6936                   
301365000       20020528    612                3.34                    
301365000       20030928   3820                5.29                    
301365000       20040723   5500                8.51                    
301365000       20050402   6300                9.20                    
301365000       20051008   5100                8.01                    
301365000       20070416   2800                5.66                    
301365000       20071027   2620                5.47                    
301365000       20081212   2750                5.65                    
301365000       20100323   3350                6.23                    
301365000       20110828   82009              10.63                    
301365000       20120918   2040                4.15                    
301365000       20130611   1600                3.55                    
301365000       20140111   1270                3.26                    
301365000       20150930   1200                3.21                    
301365000       20160708   2400                4.76                    
301365000       20170406    996                3.36                    
301365000       20171030   2890                5.51                    
301365000       20190124   1920                4.75                    
