Z01487000                       USGS 
H01487000       3843420753342001024005SW0208010975.4           12.82            
N01487000       NANTICOKE RIVER NEAR BRIDGEVILLE, DE
Y01487000       
301487000       193509                        11.005Bd                   
301487000       19430421    400                5.00                    
301487000       19440314    420                5.13                    
301487000       19450723    435                5.24                    
301487000       19451230    730                6.20                    
301487000       19470527    386                4.98                    
301487000       19480605    830                6.40                    
301487000       19481205    590                5.81                    
301487000       19500324    216                3.91                    
301487000       19510612    290                4.15                    
301487000       19511222    776                6.21                    
301487000       19530317    468                5.39                    
301487000       19540305    248                4.53                    
301487000       19550815    680                6.12                    
301487000       19560317    270                4.84                    
301487000       19561103    635                6.15                    
301487000       19580826   2300                8.84                    
301487000       19590716    930                6.88                    
301487000       19600913   1620                8.08                    
301487000       19610102    728                6.47                    
301487000       19620107    985                6.99                    
301487000       19630312    867                7.04                    
301487000       19640219    572                6.43                    
301487000       19650825    229                5.16                    
301487000       19660522    435                6.05                    
301487000       19670805   2360                8.86        1935          
301487000       19680114    526                6.29                    
301487000       19690722    227                5.26                    
301487000       19710223    700                6.713                   
301487000       19711207    522                6.2823                   
301487000       19730202    828                6.973                   
301487000       19731221    490                6.45                    
301487000       19750320   1730                8.23                    
301487000       19760101    724                6.96                    
301487000       19770110    267                5.82                    
301487000       19780121   1340                8.10                    
301487000       19790226   3020               10.31                    
301487000       19800410    365                6.55                    
301487000       19801025    637                7.25                    
301487000       19820308    248                6.05                    
301487000       19830416    667                7.22                    
301487000       19840530   1270                8.37                    
301487000       19850927    401                6.44                    
301487000       19860126    269                5.93                    
301487000       19861225    691                7.28                    
301487000       19880212    371                6.38                    
301487000       19890325    847                7.48                    
301487000       19900529    829                7.44                    
301487000       19910112    549                6.74                    
301487000       19920508    310                6.07                    
301487000       19930314   1010                7.83                    
301487000       19940303   1970                9.45                    
301487000       19950309    296                6.20                    
301487000       19960119    574                7.09                    
301487000       19961214    802                7.62                    
301487000       19980129   1350                8.63                    
301487000       19990917   1760                9.19                    
301487000       20000322    754                7.51                    
301487000       20010812    997                7.62                    
301487000       20020902    758                7.18                    
301487000       20030224   1430                8.28                    
301487000       20040207    793                7.25                    
301487000       20050521    793                7.25                    
301487000       20060626   1150                8.04                    
301487000       20070416   1250                8.20                    
301487000       20080513    410                6.35                    
301487000       20090823    533                7.15                    
301487000       20091209   1600                8.48                    
301487000       20110828   1590                8.73                    
301487000       20111208    201                6.11                    
301487000       20121030   1080                8.25                    
301487000       20140331    606                7.31                    
301487000       20150124    545                7.17                    
301487000       20160930   1660                9.10                    
301487000       20161009   1170                8.39                    
301487000       20180519    854                7.93                    
301487000       20181125    757                7.81                    
