Z01518862                       USGS 
H01518862       4155230773156004242117SW0205010490.6   90.6    1337.58          
N01518862       Cowanesque River at Westfield, PA
Y01518862       
301518862       19840813   7050                8.47                    
301518862       19841228    883                3.59                    
301518862       19860314                       6.00                    
301518862       19870702   1930                4.732                   
301518862       19880519   1360                4.21                    
301518862       19890620   4360                5.71                    
301518862       19900411   3220                4.89                    
301518862       19901011   5590                6.53                    
301518862       19920922   2490                4.34                    
301518862       19930401   4330                5.94                    
301518862       19940818  10800               10.03                    
301518862       19950120   5080                6.59                    
301518862       19960119  13000               11.10                    
301518862       19961108   6470                7.51                    
301518862       19980108   4460                6.15                    
301518862       19990304   2270                4.382                   
301518862       20000613   5700                7.00                    
301518862       20010409   3190                5.15                    
301518862       20020605   4650                6.29                    
301518862       20030801   6440                7.65                    
301518862       20040909   8330                8.70                    
301518862       20050402   3080                5.38                    
301518862       20051129   4700                6.55                    
301518862       20070315   7720                8.38                    
301518862       20080206   6820                7.87                    
301518862       20090620   3510                5.71                    
301518862       20100125   6510                7.69                    
301518862       20101201   7150                8.06                    
301518862       20111020   1750                4.16                    
301518862       20130131   4730                6.57                    
301518862       20140516   7460                8.23                    
301518862       20150408   3440                5.66                    
301518862       20151110   3490                5.69                    
301518862       20170112   4810                6.62                    
301518862       20180917   9410                9.26                    
301518862       20181002   4820                6.63                    
