Z01552500                       USGS 
H01552500       4121250763206004242113SW0205020623.8           1025.01          
N01552500       Muncy Creek near Sonestown, PA
Y01552500       
301552500       193603                         9.30Bd                   
301552500       19410405   1830                5.16                    
301552500       19411224   3040                7.35                    
301552500       19421230   1560                4.88                    
301552500       19440507   1670                5.00                    
301552500       19450918   1560                4.90                    
301552500       19460527   2110                6.22                    
301552500       19470529   1840                5.13                    
301552500       19480319    882                4.19                    
301552500       19481230   1560                4.88                    
301552500       19500820   1530                5.54                    
301552500       19501125   3070                7.38                    
301552500       19520311   4260                8.61                    
301552500       19521122   1460                5.38                    
301552500       19540221    988                4.73                    
301552500       19550813    705                4.30                    
301552500       19551014   1460                5.39                    
301552500       19561102   1760                5.77                    
301552500       19571220   1510                5.50                    
301552500       19590122   2180                6.32                    
301552500       19600211   1620                5.62                    
301552500       19610225   1300                5.222                   
301552500       19620407   1500                5.46                    
301552500       19630326   1380                5.32                    
301552500       19640310   2840                7.12                    
301552500       19650208    386                                        
301552500       19660528   1620                5.59                    
301552500       19670827   1080                4.92                    
301552500       19671102   1350                5.26                    
301552500       19690324    703                4.36                    
301552500       19700402   1770                5.78                    
301552500       19710315    643                4.482                   
301552500       19720622   4630                8.94                    
301552500       19730202   1130                4.72                    
301552500       19731221   1000                4.54                    
301552500       19750926   3750                8.12                    
301552500       19760126   1810                5.51                    
301552500       19761009   3020                7.33                    
301552500       19780109   2160                6.29                    
301552500       19790306   1970                6.02                    
301552500       19800321   1600                5.11                    
301552500       19810223   1840                5.362                   
301552500       19820606    860                4.10                    
301552500       19830416   1150                4.44                    
301552500       19840214   2120                6.23                    
301552500       19850731   1230                4.60                    
301552500       19860315   2160                6.28                    
301552500       19870404   1900                5.34                    
301552500       19880829   2280                6.44                    
301552500       19890506   1480                4.77                    
301552500       19891020   1470                4.76                    
301552500       19901204   1700                5.63                    
301552500       19920311   1100                4.47                    
301552500       19930401   1800                5.79                    
301552500       19931128   2370                6.56                    
301552500       19941128   1140                4.78                    
301552500       19960119   4360                8.70                    
301552500       19961202   1730                5.68                    
301552500       19980108   22002               7.431                   
301552500       19990124   10002               5.561                   
301552500       20000801   1050                4.61                    
301552500       20010924   1250                4.902                   
301552500       20020513   1650                5.57                    
301552500       20021012   1870                5.88                    
301552500       20040918   2440                6.64                    
301552500       20050402   2070                6.03                    
301552500       20060627   3500                7.90                    
301552500       20061116   3140                7.46                    
301552500       20080305   18702               5.75                    
301552500       20090731    847                4.23                    
301552500       20100125   4280                8.63                    
301552500       20110907   6970               10.80                    
301552500       20111207    547                3.19                    
301552500       20130722   1060                4.37                    
301552500       20140813    825                3.88                    
301552500       20150621    547                3.19                    
301552500       20160216   1000                4.26                    
301552500       20170501   2480                6.59                    
301552500       20180813   6390               10.37                    
301552500       20181002   2090                5.48                    
