Z01557500                       USGS 
H01557500       4041010781402004242013SW0205030244.1           921.80           
N01557500       Bald Eagle Creek at Tyrone, PA
Y01557500       
301557500       19360318                      15.00                    
301557500       19400331   21207                                       
301557500       19410605    7207                                       
301557500       19411224   1510                                        
301557500       19430421    9507                                       
301557500       19440523   12807                                       
301557500       19450517   2250                4.80                    
301557500       19460527   2150                4.723                   
301557500       19470826   1700                4.273                   
301557500       19480414   1900                4.473                   
301557500       19481230    9452                                       
301557500       19500328    980                3.423                   
301557500       19501125   5140                7.503                   
301557500       19520311   2450                5.09                    
301557500       19530526   1390                4.03                    
301557500       19540301   2430                4.98                    
301557500       19541015   1870                4.66                    
301557500       19560513   1630                4.36                    
301557500       19561023   1320                3.95                    
301557500       19571226    596                2.832                   
301557500       19590429    972                3.45                    
301557500       19600331   1550                4.27                    
301557500       19610802   1870                4.64                    
301557500       19620407   1100                3.642                   
301557500       19630518    815                3.22                    
301557500       19640310   2980                5.38                    
301557500       19650305    421                                        
301557500       19660213   1370                4.161                   
301557500       19670928   3500                5.73                    
301557500       19680529    783                3.13                    
301557500       19690723   3130                5.48                    
301557500       19700402   1510                4.12                    
301557500       19710227    819                3.19                    
301557500       19720622   5050                6.66                    
301557500       19730605    914                3.53                    
301557500       19740512    648                3.072                   
301557500       19750926   2120                4.56                    
301557500       19760621   2870                5.24                    
301557500       19770402   1330                3.79                    
301557500       19780514   2190                4.60                    
301557500       19790304   1960                4.37                    
301557500       19791004    879                3.00                    
301557500       19810220   1750                4.14                    
301557500       19820528   1200                3.48                    
301557500       19830410    826                2.93                    
301557500       19840214   2030                4.45                    
301557500       19850331    884                2.98                    
301557500       19860315   1390                3.78                    
301557500       19870404   1230                3.54                    
301557500       19880519   1110                3.362                   
301557500       19890620   1690                4.03                    
301557500       19900715   1740                3.73                    
301557500       19901011   1170                3.17                    
301557500       19911203    711                2.56                    
301557500       19930330   1640                3.642                   
301557500       19931128   2950                5.33                    
301557500       19950120    498                3.04                    
301557500       19960119   2980                5.182                   
301557500       19970525   1630                3.95                    
301557500       19971108   1260                3.51                    
301557500       19990303   1180                3.33                    
301557500       20000417    713                2.57                    
301557500       20010321    416                1.98                    
301557500       20020326   1580                3.85                    
301557500       20030927   1460                3.70                    
301557500       20040918   3660                5.70                    
301557500       20050106   1190                3.34                    
301557500       20051129   3270                5.40                    
301557500       20061116   1350                3.57                    
301557500       20080305   1310                3.58                    
301557500       20090620    680                2.70                    
301557500       20100125   2430                4.71                    
301557500       20101201   3020                5.08                    
301557500       20111123   1290                3.49                    
301557500       20130131   1460                3.69                    
301557500       20140516   1070                3.22                    
301557500       20150718   3070                5.12                    
301557500       20160203    932                2.94                    
301557500       20170505   1250                3.37                    
301557500       20180910   2910                4.99                    
301557500       20190208    864                2.882                   
