Z01605500                       USGS 
H01605500       3838080792017005454071SW02070001179            1692.10          
N01605500       SOUTH BRANCH POTOMAC RIVER AT FRANKLIN, WV
Y01605500       
301605500       193603    1850027Bd           13.005Bd                   
301605500       19410405   1300                3.98                    
301605500       19420516  10100                8.69                    
301605500       19430708   4330                6.05                    
301605500       19440525   1820                4.43                    
301605500       19450918   3700                5.70                    
301605500       19460107   1700                4.35                    
301605500       19470717   2880                5.18                    
301605500       19480414   5600                6.74                    
301605500       19490617  15000               11.40                    
301605500       19500913   3020                5.24                    
301605500       19501207   5200                6.64                    
301605500       19520311   5200                6.60                    
301605500       19530221   4360                6.13                    
301605500       19540301   6470                7.31                    
301605500       19550322   6090                7.10                    
301605500       19560314   1610                4.21                    
301605500       19570405   3020                5.27                    
301605500       19580505   2130                4.61                    
301605500       19590602   3800                5.77                    
301605500       19600330   5540                6.77                    
301605500       19610225   4520                6.22                    
301605500       19620321   4040                5.88                    
301605500       19630319   4540                6.24                    
301605500       19640305   8440                8.32                    
301605500       19650426   6510                7.32                    
301605500       19660213   2930                5.24                    
301605500       19670307   8700                8.45                    
301605500       19680323   2370                4.85                    
301605500       19690820    964                3.66                    
301605500       19761009   9240                8.72                    
301605500       19780126  10100                9.15                    
301605500       19790121   6240                7.18                    
301605500       19800414   4980                6.49                    
301605500       19810211   3450                5.58                    
301605500       19820320   7270                7.72                    
301605500       19830424   4080                5.97                    
301605500       19840812   8960                8.58                    
301605500       19850224   2930                5.24                    
301605500       19851104  44000               22.58        1878          
301605500       19870417   4980                6.49                    
301605500       19880119   2160                4.70                    
301605500       19890506   2270                4.78                    
301605500       19891231   2550                4.98                    
301605500       19910323   5680                6.88                    
301605500       19920421   5460                6.76                    
301605500       19930416  11200                9.71                    
301605500       19940508   5850                6.97                    
301605500       19950115   4770                6.37                    
301605500       19960906  34000               19.16                    
301605500       19961202   4690                6.33                    
301605500       19980321   4960                6.48                    
301605500       19990115    940                3.60                    
301605500       20000219   1800                4.46                    
301605500       20010729   1250                3.97                    
301605500       20020422   5120                6.58                    
301605500       20030919  16500               12.14                    
301605500       20031119  16800               12.26                    
301605500       20050328   3720                5.77                    
301605500       20060627   7330                7.74                    
301605500       20070302  10700                9.52                    
301605500       20080305   5300                6.86                    
301605500       20090507   2340                5.16                    
301605500       20100125   9920                9.12                    
301605500       20110416   8570                8.66                    
301605500       20111207   3430                6.37                    
301605500       20130508   4030                6.70                    
301605500       20140516   7610                8.24                    
301605500       20150420   3160                6.18                    
301605500       20160216   4210                6.71                    
301605500       20170525   2690                5.89                    
301605500       20180416   93802               9.10                    
301605500       20181221   3230                6.70                    
