Z01632000                       USGS 
H01632000       3838130785111005151165SW02070006210            1050.68          
N01632000       N F SHENANDOAH RIVER AT COOTES STORE, VA
Y01632000       
301632000       187711                        20.90Bd                   
301632000       188906                        18.80Bd                   
301632000       192405    178007Bd            16.70Bd                   
301632000       19260825   4230                9.60                    
301632000       19261116  11400               14.00                    
301632000       19280430   6000               11.00                    
301632000       19290416  14600               15.40                    
301632000       19291022   7600               12.00                    
301632000       19310823   1600                7.00                    
301632000       19320204   4880               10.20                    
301632000       19330417   7120               11.70                    
301632000       19340916   2860                8.50                    
301632000       19341201  24600               19.00                    
301632000       19360317  40500               23.25                    
301632000       19370425  18600               17.00                    
301632000       19371028   4600               10.00                    
301632000       19390203   9040               12.84                    
301632000       19400531   6800               11.70                    
301632000       19410405   5040               10.26                    
301632000       19420522  18300               16.93                    
301632000       19421015  50000               25.30        1836          
301632000       19440524   7640               11.45                    
301632000       19450918  15800               15.90                    
301632000       19460504   5260                9.73                    
301632000       19470314   2800                7.28                    
301632000       19480811   4900                9.35                    
301632000       19490628  13500               14.84                    
301632000       19500913  12700               14.36                    
301632000       19501204  11800               13.89                    
301632000       19520311  10200               13.01                    
301632000       19530324   8440               11.93                    
301632000       19540301   8440               11.88                    
301632000       19550818  17500               16.60                    
301632000       19560806   3170                7.86                    
301632000       19570405   6440               10.59                    
301632000       19580727   2770                7.54                    
301632000       19590602  11800               13.91                    
301632000       19600508  12400               14.25                    
301632000       19610219   4900                9.37                    
301632000       19620321   6040               10.33                    
301632000       19630319  11600               13.80                    
301632000       19640303   5390                9.85                    
301632000       19650207   7000               11.02                    
301632000       19660228   2690                7.31                    
301632000       19670307  11500               13.70                    
301632000       19671211   4610                9.16                    
301632000       19690801   5910               10.20                    
301632000       19700709  17400               16.55                    
301632000       19710530  11300               13.63                    
301632000       19720622  13900               14.98                    
301632000       19721005  26400               19.50                    
301632000       19740602  12800               14.47                    
301632000       19750319  19500               17.29                    
301632000       19760101   9800               12.75                    
301632000       19761009  18500               16.98                    
301632000       19771107  13500               14.81                    
301632000       19790905  15500               15.69                    
301632000       19791002  14600               15.25                    
301632000       19810528   1770                6.08                    
301632000       19820613   6470               10.56                    
301632000       19830319   6470               10.56                    
301632000       19831212   7880               11.54                    
301632000       19850531   4850                9.01                    
301632000       19851104  49200               25.13                    
301632000       19870416  12000               13.72                    
301632000       19880506   7580               10.94                    
301632000       19890502   3330                7.26                    
301632000       19900529   3240                7.16                    
301632000       19910323   9860               12.44                    
301632000       19920421  11400               13.35                    
301632000       19930304  13800               14.71                    
301632000       19940817  14800               15.26                    
301632000       19950115  10100               12.61                    
301632000       19960906  63400               27.86                    
301632000       19961108   6160                8.38                    
301632000       19980217  10700               10.97                    
301632000       19990906   3810                6.87                    
301632000       20000614   2240                5.68                    
301632000       20010622  13600               12.37                    
301632000       20020422  10200               10.70                    
301632000       20030919  20400               15.22                    
301632000       20040928  15200               13.09                    
301632000       20050328   5100                7.67                    
301632000       20051129  18900               14.63                    
301632000       20061116  17600               14.09                    
301632000       20080512   1820                6.48                    
301632000       20090403   2550                7.38                    
301632000       20100125   9630               12.59                    
301632000       20110416  22200               16.33                    
301632000       20111207   7080                9.58                    
301632000       20130508  12500               12.54                    
301632000       20140516   7820               10.01                    
301632000       20150420   5340                9.17                    
301632000       20160216   5000                8.92                    
301632000       20170505   8120               10.95                    
301632000       20180522  22900               17.35                    
301632000       20181221   7400               10.52                    
