Z01632900                       USGS 
H01632900       3841360783835005151171SW0207000693.6           880.84           
N01632900       SMITH CREEK NEAR NEW MARKET, VA
Y01632900       
301632900       19591001                      10.703                   
301632900       19610413   1210                7.063                   
301632900       19620321   1680                8.003                   
301632900       19630319   2700                9.103                   
301632900       19640121   1300                7.55                    
301632900       19650208   1380                7.78                    
301632900       19660228    722                5.82                    
301632900       19670307   2770                9.93                    
301632900       19680313   1100                7.22                    
301632900       19690810    935                6.66                    
301632900       19700423    745                6.03                    
301632900       19710213   2860                9.96                    
301632900       19720622   6280               13.22                    
301632900       19721006  10600               16.38                    
301632900       19731226   3920               11.08                    
301632900       19750319   4340               11.48                    
301632900       19760101   1660                8.35                    
301632900       19761009   4760               11.90                    
301632900       19780314   3400               10.62                    
301632900       19790225   2260                9.30                    
301632900       19791005   1500                8.07                    
301632900       19810211    229                3.25                    
301632900       19820320   1680                8.43                    
301632900       19830516   1640                8.36                    
301632900       19840214   4790               11.93                    
301632900       19850212   2950               10.11                    
301632900       19851105   6050               13.01                    
301632900       19870417   4020               11.20                    
301632900       19880519   2910               10.06                    
301632900       19890712   1030                6.25                    
301632900       19900101    300129             7.72                    
301632900       19901023   2470                9.53                    
301632900       19920422   2310                9.31                    
301632900       19930304   4360               11.52                    
301632900       19931128   3390               10.60                    
301632900       19950722    984                6.08                    
301632900       19960906  12400               17.62                    
301632900       19970304   2430                9.47                    
301632900       19980108   2660                9.78                    
301632900       19990930    917                5.91                    
301632900       20000926    472                4.25                    
301632900       20010812   2300                9.30                    
301632900       20020422    600                5.36                    
301632900       20030919  10300               16.25                    
301632900       20040929   2810                9.95                    
301632900       20041209    456                4.44                    
301632900       20060628   3710               11.91                    
301632900       20061116    839                6.52                    
301632900       20080512    421                4.45                    
301632900       20090507    699                5.85                    
301632900       20100125   2450               10.48                    
301632900       20110417   3120               11.28                    
301632900       20111208   1190                8.03                    
301632900       20130712   2320               10.06                    
301632900       20140516   4360               12.43                    
301632900       20150930    804                6.04                    
301632900       20160605   2520               10.34                    
301632900       20170505    738                5.76                    
301632900       20180603   3500               11.55                    
301632900       20181221   1310                7.94                    
