Z02013000                       USGS 
H02013000       3748100800250005151005SW02080201162            1294.29          
N02013000       DUNLAP CREEK NEAR COVINGTON, VA
Y02013000       
302013000       191303                        18.00Bd                   
302013000       19290227   4080                7.50                    
302013000       19291118   7300                9.70                    
302013000       19310328   2140                5.50                    
302013000       19320501   5580                8.70                    
302013000       19330319   5300                8.50                    
302013000       19340308   3760                7.20                    
302013000       19350123   7900               10.00                    
302013000       19360317   8370               10.52                    
302013000       19370120   6200                9.10                    
302013000       19371027   4660                8.00                    
302013000       19390130   4160                7.48                    
302013000       19400814   8050               10.30                    
302013000       19410312   1150                4.20                    
302013000       19420522   5580                8.70                    
302013000       19430313   5440                8.60                    
302013000       19440324   2140                5.50                    
302013000       19450101   2230                5.60                    
302013000       19460108   3560                7.00                    
302013000       19470314   2860                6.30                    
302013000       19480214   8300               10.20                    
302013000       19490413   8100               10.10                    
302013000       19500202   4030                7.28                    
302013000       19510330   5570                8.59                    
302013000       19520311   5700                8.68                    
302013000       19530221   3720                7.04                    
302013000       19540301   7770               10.10                    
302013000       19550306   7770               10.14                    
302013000       19560314   2560                5.83                    
302013000       19570405   5440                8.53                    
302013000       19580331   5570                8.56                    
302013000       19590412   2830                6.06                    
302013000       19600330   3320                6.60                    
302013000       19610225   2290                5.48                    
302013000       19611021   4950                8.13                    
302013000       19630312   9120               10.98                    
302013000       19640304   2200                5.38                    
302013000       19650325   5440                8.53                    
302013000       19660502   4030                7.30                    
302013000       19670307   6450                9.22                    
302013000       19680131   1540                4.54                    
302013000       19690820  16500               13.13                    
302013000       19691231   5870                9.12                    
302013000       19710213   5490                8.77                    
302013000       19720621  27400               15.65                    
302013000       19730317   9370               10.76                    
302013000       19731226   9970               11.03                    
302013000       19750314   4820                8.16                    
302013000       19751018   4480                7.84                    
302013000       19770405  11700               11.74                    
302013000       19780126   7760                9.98                    
302013000       19790224   6150                9.07                    
302013000       19800317   4080                7.45                    
302013000       19810528   5230                8.44                    
302013000       19820613   6570                9.32                    
302013000       19830319   5080                8.33                    
302013000       19840813   8220               10.21                    
302013000       19850202   3470                6.85                    
302013000       19851104  17400               13.42                    
302013000       19870416   7100                9.62                    
302013000       19880120   2040                5.37                    
302013000       19890922   4110                7.48                    
302013000       19891231   5640                8.73                    
302013000       19910111   5750                8.81                    
302013000       19920226   7500                9.84                    
302013000       19930304   8140               10.17                    
302013000       19940223   3640                7.00                    
302013000       19950115   8710               10.45                    
302013000       19960119  17100               13.33                    
302013000       19970601   6640                9.36                    
302013000       19980420   5480                8.62                    
302013000       19990318   1780                5.05                    
302013000       20000312   5590                8.70                    
302013000       20010525   3820                7.19                    
302013000       20020422   3220                6.61                    
302013000       20030222  11400               11.59                    
302013000       20040928  19700               14.04                    
302013000       20050328   3690                7.05                    
302013000       20060627   4640                8.00                    
302013000       20070415   6590                9.33                    
302013000       20080428   2500                5.83                    
302013000       20090107   2080                5.35                    
302013000       20100125   8710                9.76                    
302013000       20110306   4840                7.67                    
302013000       20111207   5760                8.23                    
302013000       20130507  14200               11.98                    
302013000       20140203   4550                7.48                    
302013000       20150305   5590                8.13                    
302013000       20160623  23600               16.66                    
302013000       20170525   5280                9.42                    
302013000       20180506   5370                9.48                    
302013000       20181011   4210                8.68                    
