Z02014000                       USGS 
H02014000       3743440800233005151005SW02080201153            1273.48          
N02014000       POTTS CREEK NEAR COVINGTON, VA
Y02014000       
302014000       187711                        12.003Bd                   
302014000       191303                        12.503Bd                   
302014000       19290227   2230                4.903                   
302014000       19291118   4460                7.003                   
302014000       19310523   1310                3.803                   
302014000       19320501   2230                4.903                   
302014000       19321109   1870                4.503                   
302014000       19340328   3270                6.003                   
302014000       19350123   7510               10.103                   
302014000       19360317   6850                9.523                   
302014000       19370120   4330                6.903                   
302014000       19371028   2870                5.603                   
302014000       19390130   2410                5.063                   
302014000       19400814   5090                7.903                   
302014000       19410707   2140                4.823                   
302014000       19420516   5860                8.583                   
302014000       19421230   3170                5.903                   
302014000       19440229   1710                4.303                   
302014000       19450306   2410                5.103                   
302014000       19460108   2230                4.903                   
302014000       19470314   2590                5.303                   
302014000       19480214   5480                7.723                   
302014000       19490413   6630                9.323                   
302014000       19500202   2590                5.323                   
302014000       19501207   5970                8.703                   
302014000       19520311   6410                9.103                   
302014000       19530324   5030                7.433                   
302014000       19540301   7290                9.903                   
302014000       19550306   6460                9.673                   
302014000       19560416   2000                4.9536                   
302014000       19660214   3290                7.27                    
302014000       19670307   3700                7.66                    
302014000       19680313   1620                5.56                    
302014000       19690820   3920                7.88                    
302014000       19691231   4580                8.37                    
302014000       19710530   5420                8.97                    
302014000       19720621  12400               12.33                    
302014000       19730528   9320               11.01                    
302014000       19731227   5280                8.92                    
302014000       19750314   3590                7.63                    
302014000       19751018   3370                7.43                    
302014000       19770405   5570                9.08                    
302014000       19780126   5420                8.98                    
302014000       19790305   4300                8.23                    
302014000       19800414   3040                7.14                    
302014000       19810528   2500                6.58                    
302014000       19830319   4040                8.01                    
302014000       19840214   4100                8.05                    
302014000       19850818   4440                8.30                    
302014000       19851104  15400               13.46                    
302014000       19870417   5920                9.56                    
302014000       19880506    761                5.13                    
302014000       19890922   5040                9.08                    
302014000       19891017   3880                8.32                    
302014000       19910112   3220                7.84                    
302014000       19920421   4300                8.60                    
302014000       19930324   5080                9.06                    
302014000       19940817   2640                7.23                    
302014000       19950115   6570                9.83                    
302014000       19960119   9860               11.32                    
302014000       19961201   4260                8.57                    
302014000       19980420   4010                8.39                    
302014000       19990318    708                4.35                    
302014000       20000418   1910                6.43                    
302014000       20010523   2950                7.52                    
302014000       20020503   2600                7.20                    
302014000       20030222   7070                9.71                    
302014000       20040928  10700               11.65                    
302014000       20050328   3260                7.01                    
302014000       20060627   6480                9.35                    
302014000       20070415   4010                7.63                    
302014000       20080428   1710                5.57                    
302014000       20090509   1890                5.77                    
302014000       20100125   5350                8.69                    
302014000       20110417   4330                7.97                    
302014000       20111208   3030                6.91                    
302014000       20130507   7470               10.01                    
302014000       20140221   2310                6.22                    
302014000       20150305   4130                7.78                    
302014000       20160623   7240                9.85                    
302014000       20170525   4130                7.78                    
302014000       20180416   4150                7.80                    
302014000       20181011   4540                8.09                    
