Z02016000                       USGS 
H02016000       3747300794535005151005SW02080201461            1007.02          
N02016000       COWPASTURE RIVER NEAR CLIFTON FORGE, VA
Y02016000       
302016000       191303    450007Bd            20.803Bd                   
302016000       19260119   7610                9.103                   
302016000       19261226   9240               10.003                   
302016000       19271013   8680                9.703                   
302016000       19290227   7440                9.003                   
302016000       19291118   9050                9.883                   
302016000       19310329   3090                5.993                   
302016000       19320205   9050                9.903                   
302016000       19321018   7780                9.153                   
302016000       19340328   7100                8.803                   
302016000       19350123  17700               13.76                    
302016000       19360318  34200               18.62                    
302016000       19370121  12500               11.57                    
302016000       19371020  12500               11.56                    
302016000       19390204  11400               11.10                    
302016000       19400531  11400               11.09                    
302016000       19410406   3830                6.61                    
302016000       19420517  18500               14.07                    
302016000       19430314  11000               10.93                    
302016000       19440507   6280                8.31                    
302016000       19450919   6930                8.67                    
302016000       19460108   8860                9.77                    
302016000       19470315   7780                9.22                    
302016000       19480215   7610                9.08                    
302016000       19490618  16400               13.32                    
302016000       19500913  13900               12.17                    
302016000       19510613  13400               11.98                    
302016000       19520312  13900               12.18                    
302016000       19530222  14800               12.63                    
302016000       19540302  12100               11.43                    
302016000       19550306  11600               11.15                    
302016000       19560315   4350                6.97                    
302016000       19570406  12500               11.57                    
302016000       19580401   5850                7.68                    
302016000       19590603   8950                9.52                    
302016000       19600331  11100               10.79                    
302016000       19610226   6320                8.15                    
302016000       19611021  13100               11.68                    
302016000       19630313  11400               10.80                    
302016000       19640306   8570                9.30                    
302016000       19650208   8950                9.50                    
302016000       19660214   9520                9.75                    
302016000       19670308  14300               12.27                    
302016000       19680313   6590                8.17                    
302016000       19690820  25000               15.70                    
302016000       19691231  10300               10.22                    
302016000       19710531  13800               11.85                    
302016000       19720622  15700               12.63                    
302016000       19721006  12800               11.43                    
302016000       19731227  19000               13.85                    
302016000       19750320  12800               11.41                    
302016000       19760101  11000               10.53                    
302016000       19770405  15100               12.40                    
302016000       19780126  15000               12.34                    
302016000       19790226  11300               10.72                    
302016000       19800409  11200               10.66                    
302016000       19810528   6060                8.01                    
302016000       19820614  14400               12.00                    
302016000       19830425   8780                9.51                    
302016000       19840215  13600               11.69                    
302016000       19841129   5810                7.86                    
302016000       19851105  40900               19.15                    
302016000       19870416  15500               12.44                    
302016000       19880120   6620                8.07                    
302016000       19890506  10500                9.98                    
302016000       19891116  10700               10.07                    
302016000       19910304  12400               10.79                    
302016000       19920422  21800               14.11                    
302016000       19930305  14500               12.17                    
302016000       19940508   9580               10.02                    
302016000       19950623  17500               13.28                    
302016000       19960907  30100               16.91                    
302016000       19970724  15000               12.37                    
302016000       19980108  20800               14.39                    
302016000       19990124   5210                7.55                    
302016000       20000219   5710                7.88                    
302016000       20010522   8910                9.69                    
302016000       20020422  10200               10.26                    
302016000       20030920  17100               12.68                    
302016000       20031120  16600               12.52                    
302016000       20050329   5610                7.45                    
302016000       20060628  19400               13.49                    
302016000       20061117  17000               12.64                    
302016000       20080305   6120                7.76                    
302016000       20090517   9200                9.41                    
302016000       20100126  19200               13.42                    
302016000       20110429  17200               12.72                    
302016000       20111208  13500               11.32                    
302016000       20130131  13500               11.31                    
302016000       20140516   9370                9.53                    
302016000       20150628   7510                8.51                    
302016000       20160204   8420                9.02                    
302016000       20170525   9780                9.74                    
302016000       20180417  19600               13.80                    
302016000       20181222  10700               10.19                    
