Z02027500                       USGS 
H02027500       3742080790140005151125SW0208020347.7           631.58           
N02027500       PINEY RIVER AT PINEY RIVER, VA
Y02027500       
302027500       19490618                       9.903                   
302027500       19500910   1710                5.003                   
302027500       19501207   2740                6.083                   
302027500       19520311   1930                5.313                   
302027500       19530324   1570                4.893                   
302027500       19540301    608                3.363                   
302027500       19550818   4930                7.903                   
302027500       19560720    720                3.583                   
302027500       19570226   1700                5.063                   
302027500       19580423    698                3.553                   
302027500       19590930   2800                6.133                   
302027500       19600727   3180                6.523                   
302027500       19610225    870                3.903                   
302027500       19611021   1380                4.673                   
302027500       19630312    810                3.823                   
302027500       19640125    735                3.643                   
302027500       19650207   2220                5.583                   
302027500       19660213   1540                4.853                   
302027500       19670307   1580                4.923                   
302027500       19680527    570                3.303                   
302027500       19690820  38000               13.803                   
302027500       19691231   1260                                        
302027500       19701031   3750                6.123                   
302027500       19720621  10000                9.953                   
302027500       19721005   5760                8.373                   
302027500       19731221   1340                4.17                    
302027500       19750319   2830                6.19                    
302027500       19751231    540                2.71                    
302027500       19761009   2920                6.27                    
302027500       19780126   3010                6.43                    
302027500       19790921   8600                9.53                    
302027500       19800409   2310                5.44                    
302027500       19810906    521                2.42                    
302027500       19820613   1740                4.60                    
302027500       19830402   1830                4.74                    
302027500       19840214   2320                5.46                    
302027500       19850818   1660                4.48                    
302027500       19851104  25200               12.63                    
302027500       19870416   2070                5.10                    
302027500       19871129    541                2.48                    
302027500       19890505   1620                4.42                    
302027500       19900510   1860                4.79                    
302027500       19901023   2390                5.56                    
302027500       19920421   9330                9.76                    
302027500       19921113   2300                5.43                    
302027500       19931205   1700                4.55                    
302027500       19950628   3050                6.41                    
302027500       19960906  27400               12.85                    
302027500       19961202   2320                5.51                    
302027500       19980108   3160                6.54                    
302027500       19990930   4400                9.61                    
302027500       20000902   2500                7.75                    
302027500       20010622    687                4.78                    
302027500       20020422    209                3.28                    
302027500       20030919   2340                7.54                    
302027500       20031119   1480                6.29                    
302027500       20041223   1180                5.79                    
302027500       20051129  10200               12.06                    
302027500       20061116    850                5.15                    
302027500       20080428    627                4.63                    
302027500       20090403    671                4.74                    
302027500       20100125   2910                8.25                    
302027500       20110416   2800                8.12                    
302027500       20111207   1350                5.96                    
302027500       20130711   3940                9.26                    
302027500       20140516   1700                6.66                    
302027500       20150929   1990                7.08                    
302027500       20151003    624                4.62                    
302027500       20170505   2280                7.49                    
302027500       20180917   5140               10.10                    
302027500       20181221   1760                6.75                    
