Z02046000                       USGS 
H02046000       3704010773610005151053SW03010201113            129.94           
N02046000       STONY CREEK NEAR DINWIDDIE, VA
Y02046000       
302046000       194008     80007Bd                                     
302046000       19470315    890                7.20                    
302046000       19480215   1950               10.05                    
302046000       19490829   1270                8.53                    
302046000       19500910   1100                8.00                    
302046000       19510320    771                6.70                    
302046000       19520129   2530               10.93                    
302046000       19530125   2190               10.38                    
302046000       19540521   1510                9.08                    
302046000       19550818   3000               11.52                    
302046000       19551001   1830                9.82                    
302046000       19561028   2600               10.96                    
302046000       19580507   2840               11.30                    
302046000       19581229   1730                9.59                    
302046000       19591107   3980               12.62                    
302046000       19610209   1390                8.78                    
302046000       19620107   4340               13.05                    
302046000       19630307   1270                8.52                    
302046000       19640901   4530               13.42                    
302046000       19650305   1040                7.77                    
302046000       19660617   1500               10.22                    
302046000       19670221    860                8.39                    
302046000       19680313    724                7.79                    
302046000       19690805    688                7.57                    
302046000       19700711    616                7.18                    
302046000       19710531   1800               10.30                    
302046000       19711024   5030               15.07                    
302046000       19721006  11400               20.84                    
302046000       19740907    777                7.58                    
302046000       19750926   5370               15.10                    
302046000       19760128   1370                8.71                    
302046000       19761021    930                7.24                    
302046000       19780427   2770               11.26                    
302046000       19790906   6450               15.94                    
302046000       19791001   9250               18.70                    
302046000       19810607   2970               11.63                    
302046000       19820817   1300                8.51                    
302046000       19830322   3280               12.13                    
302046000       19840215   3900               13.09                    
302046000       19850202   1580                9.16                    
302046000       19851105   5780               15.23                    
302046000       19870416   3370               12.28                    
302046000       19880212    595                5.65                    
302046000       19890502   1640                9.26                    
302046000       19900101   1150                8.06                    
302046000       19910330   1570                9.14                    
302046000       19920308   1550                9.10                    
302046000       19930305   2940               11.59                    
302046000       19940303   3090               11.85                    
302046000       19950309   1010                7.29                    
302046000       19960120   2400               10.72                    
302046000       19961019   3950               13.05                    
302046000       19980320   4010               13.13                    
302046000       19990917   7150               17.24                    
302046000       20000418   4670               14.59                    
302046000       20010330   1580                9.62                    
302046000       20020318    330                4.20                    
302046000       20030919   9640               19.41                    
302046000       20040831   5920               15.15                    
302046000       20050329   1030                8.21                    
302046000       20060901   1420                9.24                    
302046000       20061117   3120               12.47                    
302046000       20080830    812                7.04                    
302046000       20081212   1610                9.69                    
302046000       20100329   2810               11.98                    
302046000       20110311    765                6.78                    
302046000       20120919    632                6.02                    
302046000       20130116   1700                9.90                    
302046000       20140408    884                7.43                    
302046000       20150603    854                7.27                    
302046000       20151224   1700                9.89                    
302046000       20161009   1630                9.73                    
302046000       20180519   1590                9.64                    
302046000       20181012   2950               12.20                    
