Z02051000                       USGS 
H02051000       3659500782100005151111SW0301020456.0           333.7            
N02051000       NORTH MEHERRIN RIVER NEAR LUNENBURG, VA
Y02051000       
302051000       194008                        48.003Bd                   
302051000       19470925   2480               15.003                   
302051000       19480214   2890               17.003                   
302051000       19481128   2240               14.003                   
302051000       19491031   3340               18.253                   
302051000       19510716    808                7.203                   
302051000       19520427   3000               17.003                   
302051000       19521120   2790               16.153                   
302051000       19540416   2500               15.133                   
302051000       19550414   3800               19.703                   
302051000       19551014   2610               15.503                   
302051000       19570917   4160               20.803                   
302051000       19580125   2560               14.863                   
302051000       19581229   3090               16.763                   
302051000       19600218   3030               16.553                   
302051000       19610223   3150               17.053                   
302051000       19620106   3990               19.753                   
302051000       19630306   2520               14.683                   
302051000       19640206   2170               13.133                   
302051000       19650207   2710               15.463                   
302051000       19660301   1750               11.183                   
302051000       19670220   1460                9.903                   
302051000       19680610   3060               16.723                   
302051000       19690325   2880               16.103                   
302051000       19700709   1860               11.703                   
302051000       19710516   2800               15.853                   
302051000       19711023  14400               28.303                   
302051000       19730202   3920               18.903                   
302051000       19740907   3950               18.953                   
302051000       19750330   5660               21.953                   
302051000       19770909   3120               16.803                   
302051000       19780426   5500               21.643                   
302051000       19790922  11800               26.943                   
302051000       19791003   4300               19.723                   
302051000       19820713   2680               15.37                    
302051000       19830416   3700               18.40                    
302051000       19840329   2750               15.63                    
302051000       19850201    7801                                       
302051000       19851104   2690               15.42                    
302051000       19870417   1410                9.64                    
302051000       19880829    847                6.87                    
302051000       19890606   2900               16.15                    
302051000       19900529   1840               11.59                    
302051000       19910318   1070                7.97                    
302051000       19920307    843                6.85                    
302051000       19930416   2990               16.41                    
302051000       19940416   1210                8.86                    
302051000       19950629    819                6.87                    
302051000       19960906   6390               22.94                    
302051000       19970428   22802              13.71                    
302051000       19980319   4240               19.34                    
302051000       19990916   3120               15.89                    
302051000       20000418   3490               17.15                    
302051000       20010330   3300               16.49                    
302051000       20020503    873                6.95                    
302051000       20030919   7180               23.86                    
302051000       20040830  10200               26.28                    
302051000       20050708   3150               15.97                    
302051000       20051216   1690               10.53                    
302051000       20070101   3520               17.26                    
302051000       20080906   4170               19.16                    
302051000       20081211   3730               17.98                    
302051000       20100329   3650               17.72                    
302051000       20110923   1880               11.52                    
302051000       20120523   2410               13.53                    
302051000       20130115   3530               17.35                    
302051000       20140516   6810               23.45                    
302051000       20141015   1120                8.26                    
302051000       20151223   3750               18.04                    
302051000       20170525   2940               15.40                    
302051000       20180917   3450               17.09                    
302051000       20181011  55000               37.78                    
