Z02053200                       USGS 
H02053200       3622150770132003737091SW03010204225            3.53             
N02053200       POTECASI CREEK NEAR UNION, NC
Y02053200       
302053200       1929       40507Bm            19.10Bm                   
302053200       194008     70007Bd            24.10Bd                   
302053200       19580510   4050               19.12                    
302053200       19590416   1360               11.62                    
302053200       19600914   4000               18.80                    
302053200       19610513   1640               12.56                    
302053200       19620227   1520               12.20                    
302053200       19630122   1550               12.33                    
302053200       19640411   1800               13.75                    
302053200       19641007   3160               17.66                    
302053200       19660306   1870               13.58                    
302053200       19670825   2130               14.44                    
302053200       19680117   2550               15.82                    
302053200       19690808   2300                                        
302053200       19700205   1660               12.88                    
302053200       19710209   1860               13.54                    
302053200       19711027   1760               13.21                    
302053200       19730819   2050               14.17                    
302053200       19731224    984               10.12                    
302053200       19750320   2420               15.41                    
302053200       19760131   2040               14.12                    
302053200       19770308   1330               11.76                    
302053200       19780122   2260               14.90                    
302053200       19790908   4280               19.77                    
302053200       19800309   1260               11.23                    
302053200       19810607    887                9.74                    
302053200       19820106   1280               11.30                    
302053200       19830418   2520               15.28                    
302053200       19840331   2540               15.36                    
302053200       19850928   2240               14.49                    
302053200       19851125   2380               14.88                    
302053200       19870123   2990               16.57                    
302053200       19880216   1110               10.31                    
302053200       19890308   2570               15.09                    
302053200       19891215   1670               12.58                    
302053200       19910808   1630               12.87                    
302053200       19920819   5650               21.77                    
302053200       19930307   1560               12.80                    
302053200       19940312   3220               17.30                    
302053200       19950219   1640               13.21                    
302053200       19960121   1030               11.04                    
302053200       19961011   1680               13.35                    
302053200       19980207   2940               16.68                    
302053200       19990917  17000               28.90                    
302053200       19991020   4090               19.08                    
302053200       20010619   2360               15.31                    
302053200       20020404    687                9.33                    
302053200       20030922   2890               18.50                    
302053200       20040818   35608              18.062                   
302053200       20050118    927               10.86                    
302053200       20060617   3670               18.27                    
302053200       20061124   1750               13.59                    
302053200       20080425   1180               11.63                    
302053200       20090321   1080               11.40                    
302053200       20100208   2260               15.60                    
302053200       20101002   6920               23.41                    
302053200       20120605   1350               12.54                    
302053200       20130705   1600               13.462                   
302053200       20140430   2950               17.10                    
302053200       20141227   1310               12.35                    
302053200       20160924   5430               21.40                    
302053200       20161010  11400               26.98                    
302053200       20180801   2190               14.79                    
302053200       20190226   2960               16.56                    
