Z02053800                       USGS 
H02053800       3708240801600005151121SW03010101109            1361.87          
N02053800       S F ROANOKE RIVER NEAR SHAWSVILLE, VA
Y02053800       
302053800       19590930                       9.893                   
302053800       19610511   1380                4.333                   
302053800       19620312   1160                3.873                   
302053800       19621110   2140                4.933                   
302053800       19640831    970                3.213                   
302053800       19650326   1700                4.243                   
302053800       19660213   1530                4.023                   
302053800       19670307   3840                6.353                   
302053800       19680312    736                2.603                   
302053800       19681019   3020                5.953                   
302053800       19691231   1120                3.333                   
302053800       19710606    921                3.013                   
302053800       19720621  14200               11.123                   
302053800       19730528   4500                7.443                   
302053800       19740404   1840                4.513                   
302053800       19750314   4020                7.103                   
302053800       19760617   2300                5.08                    
302053800       19770405   3520                6.62                    
302053800       19780426   4860                7.72                    
302053800       19790921   8380                9.27                    
302053800       19800414   2080                4.82                    
302053800       19810528    682                2.77                    
302053800       19820203   1870                4.55                    
302053800       19830410   4990                7.79                    
302053800       19840214   1980                4.70                    
302053800       19850818   3980                7.07                    
302053800       19851104   7070                8.81                    
302053800       19870425   4690                6.02                    
302053800       19880120    411                1.87                    
302053800       19890922   8110                8.05                    
302053800       19891116   2960                4.66                    
302053800       19901023   1600                3.47                    
302053800       19920421   8300                8.15                    
302053800       19930324   4570                5.93                    
302053800       19940817   3910                5.44                    
302053800       19950115   5790                6.75                    
302053800       19960906   9690                8.88                    
302053800       19961108   2640                5.05                    
302053800       19980320   4030                6.39                    
302053800       19990905   3210                5.61                    
302053800       20000418   1190                3.23                    
302053800       20010330   1230                3.28                    
302053800       20020502   3160                5.56                    
302053800       20030222   7090                8.66                    
302053800       20040928   7390                8.86                    
302053800       20050114   1730                4.19                    
302053800       20060627   5180                7.32                    
302053800       20061116   1810                4.06                    
302053800       20080428    827                2.65                    
302053800       20090605   1370                3.53                    
302053800       20091112   6120                8.00                    
302053800       20110416   1980                4.27                    
302053800       20111129   2230                4.57                    
302053800       20130130   7420                8.88                    
302053800       20140221   1520                3.69                    
302053800       20150929   8090                9.32                    
302053800       20151119   2440                4.99                    
302053800       20170505   3160                5.60                    
302053800       20180917   7330                8.82                    
302053800       20181011   7880                9.18                    
