Z02055100                       USGS 
H02055100       3725030795608005151023SW0301010111.7           1216.8           
N02055100       TINKER CREEK NEAR DALEVILLE, VA
Y02055100       
302055100       194008                         9.00Bd                   
302055100       19570405    245                3.91                    
302055100       19580505    580                5.20                    
302055100       19590930    520                4.98                    
302055100       19600901    670                5.52                    
302055100       19610825   2180                8.52                    
302055100       19620805    700                5.61                    
302055100       19621109    403                4.53                    
302055100       19640831    720                5.65                    
302055100       19650707    700                5.62                    
302055100       19660213    700                5.60                    
302055100       19670307   1820                7.90                    
302055100       19680312    286                4.03                    
302055100       19681019    952                6.23                    
302055100       19700724    426                4.64                    
302055100       19710213    604                5.28                    
302055100       19720621   4000                9.82                    
302055100       19730528   3150                9.25                    
302055100       19740726   3580                9.55                    
302055100       19750319    788                5.82                    
302055100       19751018    251                3.84                    
302055100       19761025    458                4.76                    
302055100       19771107    836                5.94                    
302055100       19790921   3040                9.17                    
302055100       19800414   1340                7.05                    
302055100       19810705   87.0                2.60                    
302055100       19820203    272                3.89                    
302055100       19830410   1170                6.78                    
302055100       19840630   1350                7.13                    
302055100       19850818    508                4.95                    
302055100       19851104  10400               13.36                    
302055100       19870416   2200                8.37                    
302055100       19880721    117                2.82                    
302055100       19890916   1350                7.11                    
302055100       19891116   2290                8.48                    
302055100       19910726   1060                6.52                    
302055100       19920421   1150                6.71                    
302055100       19930304   1320                7.05                    
302055100       19940817    291                3.85                    
302055100       19950115    727                5.60                    
302055100       19960119   1390                7.18                    
302055100       19961201    452                4.61                    
302055100       19980320   2050                8.18                    
302055100       19990928    346                4.13                    
302055100       20000417    566                5.06                    
302055100       20010329    212                3.40                    
302055100       20020318   23.0                1.69                    
302055100       20030518   1840                7.89                    
302055100       20040928   2090                8.23                    
302055100       20050328    702                5.52                    
302055100       20060626    839                5.94                    
302055100       20061116    427                4.50                    
302055100       20080723    566                5.06                    
302055100       20090515    238                3.56                    
302055100       20100125    23012                                      
302055100       20101201    590                4.90                    
302055100       20111207    261                3.60                    
302055100       20130704   2450                8.78                    
302055100       20140203    236                3.47                    
302055100       20150420    441                4.38                    
302055100       20160930    941                5.90                    
302055100       20161008   1240                6.60                    
302055100       20180522   1870                8.63                    
302055100       20190704   1270                7.23                    
