Z02056900                       USGS 
H02056900       3702420795040005151067SW03010101115            876.45           
N02056900       BLACKWATER RIVER NEAR ROCKY MOUNT, VA
Y02056900       
302056900       19761009   50001                                       
302056900       19780427   7710               15.81                    
302056900       19790922   8130               16.38                    
302056900       19800414   5280               12.15                    
302056900       19810211    242                2.95                    
302056900       19820613   3060                8.68                    
302056900       19830410   6140               13.53                    
302056900       19840214   1690                6.25                    
302056900       19850818   4470               10.95                    
302056900       19851105  20800               21.92                    
302056900       19870908   9140               17.53                    
302056900       19871129    779                4.41                    
302056900       19890705   5550               12.61                    
302056900       19900715   4400               10.85                    
302056900       19901022   2560                7.83                    
302056900       19920421  13200               19.93                    
302056900       19930304   5350               12.31                    
302056900       19940328   4310               10.73                    
302056900       19950115   4520               11.06                    
302056900       19960906   7560               15.55                    
302056900       19961108   2490                7.76                    
302056900       19980204   4850               11.63                    
302056900       19990930   1420                5.74                    
302056900       20000802   3010                8.66                    
302056900       20010330   1210                5.29                    
302056900       20020318    902                4.60                    
302056900       20030222   5000               11.85                    
302056900       20040928   6930               14.67                    
302056900       20050114   3170                8.94                    
302056900       20060626   5330               12.35                    
302056900       20061116   2460                7.71                    
302056900       20080828   1090                5.02                    
302056900       20090605   4270               10.73                    
302056900       20091112   7060               14.85                    
302056900       20101201   2800                8.31                    
302056900       20120514   4300               10.77                    
302056900       20130131   4150               10.54                    
302056900       20140824   2360                7.53                    
302056900       20150929   4110               10.47                    
302056900       20151110   2650                8.04                    
302056900       20161008   3340                9.22                    
302056900       20180917   5490               12.59                    
302056900       20181011   6680               14.31                    
