Z02059500                       USGS 
H02059500       3710230793114005151019SW03010101188            592.91           
N02059500       GOOSE CREEK NEAR HUDDLESTON, VA
Y02059500       
302059500       192409    140007Bd            21.403Bd                   
302059500       19260118   4300                7.503                   
302059500       19270219   5500                9.703                   
302059500       19291002   7000                                        
302059500       19310822   3610               10.05                    
302059500       19320306   3730               10.22                    
302059500       19321017   8980               18.15                    
302059500       19340327   3610                9.98                    
302059500       19350905   8350               17.53                    
302059500       19360103   5730               13.26                    
302059500       19361017   5040               12.30                    
302059500       19371019  20300               25.75                    
302059500       19390818  14100               21.70                    
302059500       19400814  14400               21.90                    
302059500       19410602   2620                8.20                    
302059500       19420808  11000               19.70                    
302059500       19430526   5380               12.80                    
302059500       19440918   7990               16.80                    
302059500       19441020   6630               15.00                    
302059500       19460210   3690               10.18                    
302059500       19470823   3580                9.98                    
302059500       19480804   9000               18.05                    
302059500       19490323  17600               24.10                    
302059500       19500531  19200               25.10                    
302059500       19510207   3740               10.31                    
302059500       19520831  11900               19.95                    
302059500       19530221   3150                9.22                    
302059500       19540122   2350                7.62                    
302059500       19541015  16000               23.14                    
302059500       19560927   2200                7.33                    
302059500       19570519   6420               14.67                    
302059500       19580327   4080               10.90                    
302059500       19590930   2600                7.72                    
302059500       19600219   2730                8.01                    
302059500       19610223   1810                5.83                    
302059500       19620614   3140                8.90                    
302059500       19621110   5500               13.30                    
302059500       19640830   4130               11.04                    
302059500       19650207   5120               12.68                    
302059500       19660213   2640                7.78                    
302059500       19670824   5560               13.39                    
302059500       19680114   2160                6.67                    
302059500       19690820   4580                9.76                    
302059500       19691231   2890                7.44                    
302059500       19710919  13400               19.25                    
302059500       19720621  13600               19.43                    
302059500       19730528   7740               16.14                    
302059500       19740121   3790               10.32                    
302059500       19750319   9240               17.64                    
302059500       19751231   2750                7.89                    
302059500       19761009   9930               18.28                    
302059500       19780126  11200               19.42                    
302059500       19790922  18800               24.89                    
302059500       19800409   5300               13.00                    
302059500       19810607   1560                5.80                    
302059500       19820613   4250               11.22                    
302059500       19830410  12800               20.68                    
302059500       19840814   7990               16.39                    
302059500       19850818   3720               10.17                    
302059500       19851104  14600               22.05                    
302059500       19870908  53200               37.49                    
302059500       19871129   1400                5.05                    
302059500       19890506  19500               25.34                    
302059500       19900101   2800                8.48                    
302059500       19901022  12100               20.13                    
302059500       19920422  16800               23.58                    
302059500       19930304   4480               11.63                    
302059500       19940328   5410               13.15                    
302059500       19950629  20400               25.80                    
302059500       19960906  18200               17.54                    
302059500       19961201   3890                6.68                    
302059500       19980128  11400               13.06                    
302059500       19990930   5170                7.87                    
302059500       20000418   4540                6.96                    
302059500       20010330   4890                7.08                    
302059500       20020726    692                2.66                    
302059500       20030614  24400               21.11                    
302059500       20040802  14200               15.01                    
302059500       20050114   4980                7.98                    
302059500       20051008   5340                8.30                    
302059500       20061116   6120                8.98                    
302059500       20080428   1480                4.08                    
302059500       20090515   5630                8.38                    
302059500       20100125  19300               18.66                    
302059500       20110306   2510                6.11                    
302059500       20120515   7910               11.74                    
302059500       20130507  11500               13.09                    
302059500       20131223   2280                4.85                    
302059500       20150420   2960                5.67                    
302059500       20160930  10600               12.47                    
302059500       20170525   8410               10.76                    
302059500       20180923  16500               16.50                    
302059500       20181011   9230               11.41                    
