Z02065500                       USGS 
H02065500       3704450784550005151037SW0301010297.6           370.19           
N02065500       CUB CREEK AT PHENIX, VA
Y02065500       
302065500       194008     40007Bd            17.50Bd                   
302065500       19470314   1250                8.30                    
302065500       19480401   2340               11.88                    
302065500       19481204   2720               13.00                    
302065500       19500913   1600                9.62                    
302065500       19501205    938                7.09                    
302065500       19511221   2300               11.80                    
302065500       19521121   2300               11.76                    
302065500       19540123   1870               10.37                    
302065500       19550818   2620               12.68                    
302065500       19560317    430                4.44                    
302065500       19570409   1090                7.73                    
302065500       19580227   1370                8.72                    
302065500       19581230   1480                9.07                    
302065500       19600406   1870                9.98                    
302065500       19610224   1690                9.38                    
302065500       19611213   1930               10.25                    
302065500       19630307   1210                7.77                    
302065500       19640207    695                5.83                    
302065500       19650208   1570                9.05                    
302065500       19660301   1600                9.10                    
302065500       19670826    655                5.56                    
302065500       19680115    785                6.25                    
302065500       19690326   1120                7.53                    
302065500       19700403    229                3.04                    
302065500       19710514   1960               10.33                    
302065500       19720622   7380               20.37                    
302065500       19721006   2800               12.12                    
302065500       19740907   2120               10.82                    
302065500       19750925   4550               15.85                    
302065500       19760101   1780                9.61                    
302065500       19761021   2000               10.15                    
302065500       19780126   7170               16.45                    
302065500       19790225   6770               15.86                    
302065500       19800119   1570                8.65                    
302065500       19810607    506                4.83                    
302065500       19820204   3430               11.72                    
302065500       19830410   1900                9.37                    
302065500       19840329   2700               10.75                    
302065500       19850819   5740               14.61                    
302065500       19851104   4240               12.74                    
302065500       19870908  10600               19.31                    
302065500       19880523    722                5.95                    
302065500       19890502   2030                9.62                    
302065500       19900211   2010                9.58                    
302065500       19910330   2880               11.01                    
302065500       19920422   1200                7.68                    
302065500       19930305   5550               14.38                    
302065500       19931128   6460               15.39                    
302065500       19950613   1200                7.89                    
302065500       19960906  15200               21.89                    
302065500       19961202   1680                9.24                    
302065500       19980128   2690               11.39                    
302065500       19990125   1690                9.25                    
302065500       19991001    704                5.81                    
302065500       20010330   1640                9.16                    
302065500       20020318    537                4.96                    
302065500       20030919   6170               15.12                    
302065500       20031107   1360                8.47                    
302065500       20050329   1520                9.70                    
302065500       20060906    665                6.27                    
302065500       20070102   2580               11.53                    
302065500       20080907   3120               12.29                    
302065500       20081212   1960               10.52                    
302065500       20091214   2220               10.54                    
302065500       20110312    434                4.67                    
302065500       20120326    980                7.44                    
302065500       20130712   2780               11.41                    
302065500       20140516   5770               14.73                    
302065500       20150421    294                3.56                    
302065500       20151225   3340               11.96                    
302065500       20161009   1350                8.422                   
302065500       20180520   1890                9.65                    
302065500       20181012   5730               15.16                    
