Z02074500                       USGS 
H02074500       3637100793016005151143SW03010103111            460.38           
N02074500       SANDY RIVER NEAR DANVILLE, VA
Y02074500       
302074500       19291002   1000                                        
302074500       19310822   4590                9.453                   
302074500       19320306   3990                8.693                   
302074500       19321017   4500                9.293                   
302074500       19340907   7140               11.603                   
302074500       19341201   4980                9.763                   
302074500       19360119   6330               10.953                   
302074500       19370825   4410                9.203                   
302074500       19371020   5180                9.983                   
302074500       19390818   3000                7.403                   
302074500       19400814  23000               17.383                   
302074500       19410719   1650                5.423                   
302074500       19420515   2780                7.1136                   
302074500       19430419   2400                5.33                    
302074500       19440919  11800               10.51                    
302074500       19450917   4270                6.58                    
302074500       19460108   2100                5.04                    
302074500       19470924   3110                5.83                    
302074500       19480401   3180                5.81                    
302074500       19481128   2330                5.24                    
302074500       19500714   3400                6.07                    
302074500       19510618   3630                6.18                    
302074500       19520831   2270                5.30                    
302074500       19530324   1330                4.18                    
302074500       19540122   2840                5.60                    
302074500       19541015   7830                8.65                    
302074500       19560316   1570                4.52                    
302074500       19570408   3260                5.94                    
302074500       19571119   4110                6.52                    
302074500       19581229   4270                6.56                    
302074500       19600405   2700                5.55                    
302074500       19610305   2640                5.50                    
302074500       19611212   2580                5.43                    
302074500       19630312   4430                6.66                    
302074500       19640831   2510                5.40                    
302074500       19650712   2580                5.45                    
302074500       19660228   2700                5.56                    
302074500       19670824   9820                9.58                    
302074500       19671228   1700                4.63                    
302074500       19690708   2390                5.30                    
302074500       19700810   2900                5.68                    
302074500       19710513   3330                6.01                    
302074500       19720621  10500                9.92                    
302074500       19721114   3630                6.18                    
302074500       19740906   4270                6.60                    
302074500       19750330  12700               10.90                    
302074500       19760127   1700                4.65                    
302074500       19761009   2580                5.47                    
302074500       19780426   8210                8.77                    
302074500       19790922  11600               10.38                    
302074500       19800409   4860                6.95                    
302074500       19810220    934                3.66                    
302074500       19820104   2200                5.14                    
302074500       19830402   5130                7.11                    
302074500       19840813   4410                6.69                    
302074500       19850818  10900               10.10                    
302074500       19851104   5870                7.54                    
302074500       19870416  12800               10.97                    
302074500       19880723   2930                5.72                    
302074500       19890705  12100               10.63                    
302074500       19891001   4300                6.62                    
302074500       19901023   8620                9.01                    
302074500       19920104   4600                6.80                    
302074500       19930304   6380                7.82                    
302074500       19940302   4120                6.51                    
302074500       19950629  11200               10.26                    
302074500       19960906  13000               11.06                    
302074500       19970429   3510                6.12                    
302074500       19980507   6020                7.63                    
302074500       19990930   3210                5.97                    
302074500       20000903   5000                7.05                    
302074500       20010522   3780                6.30                    
302074500       20020509   5770                7.49                    
302074500       20030320   6380                7.83                    
302074500       20040928   5770                7.49                    
302074500       20050708   5240                7.19                    
302074500       20051008   2550                5.43                    
302074500       20070101   7820                8.60                    
302074500       20080509   8750                9.08                    
302074500       20090107   2240                5.17                    
302074500       20100125   7710                8.54                    
302074500       20101028    928                3.58                    
302074500       20120325   2340                5.26                    
302074500       20130117   3650                6.21                    
302074500       20140111   2500                5.39                    
302074500       20150420   1080                3.84                    
302074500       20151224   6030                7.64                    
302074500       20161008   4900                6.99                    
302074500       20180923   8630                9.02                    
302074500       20181011  14100               11.51                    
