Z02092500                       USGS 
H02092500       3503510772741003737103SW03020204168            19.15            
N02092500       TRENT RIVER NEAR TRENTON, NC
Y02092500       
302092500       1928       76007Bm            17.30Bm                   
302092500       19520228   1050               11.41                    
302092500       19530930   1680               12.87                    
302092500       19531217    886               10.45                    
302092500       19550921   9100               17.84                    
302092500       19560510   1400               12.55                    
302092500       19570310    772               10.62                    
302092500       19580605   1330               12.45                    
302092500       19590308   3760               15.47                    
302092500       19600801   2840               14.78                    
302092500       19610630   5220               16.36                    
302092500       19620706   7300               17.20                    
302092500       19630123   2410               14.34                    
302092500       19640915   3000               14.88                    
302092500       19650628   2610               14.57                    
302092500       19660303   2000               13.88                    
302092500       19670212    968               11.45                    
302092500       19680315   2470               14.41                    
302092500       19690807   1170               12.13                    
302092500       19700206   1360               12.68                    
302092500       19710305   1690               13.40                    
302092500       19711027   2550               14.49                    
302092500       19730217   2730               14.67                    
302092500       19740810    906               11.19                    
302092500       19750115    956               11.40                    
302092500       19760103   1200               12.32                    
302092500       19770324   1320               12.55                    
302092500       19780429   3350               15.18                    
302092500       19790228   2410               14.35                    
302092500       19800401   1860               13.66                    
302092500       19810822   2940               14.84                    
302092500       19820106   1200               12.20                    
302092500       19830321   2670               14.51                    
302092500       19840216   1470               12.94                    
302092500       19850215    952               11.32                    
302092500       19860823   1290               12.46                    
302092500       19870125   2010               13.90                    
302092500       19880418    496                8.89                    
302092500       19890326   1310               12.51                    
302092500       19891212   1120               11.98                    
302092500       19910708    999               11.47                    
302092500       19920819   3640               15.40                    
302092500       19930110   2470               14.34                    
302092500       19940304   2390               14.19                    
302092500       19950220   2000               13.41                    
302092500       19960715   2100               14.61                    
302092500       19961011   2120               15.16                    
302092500       19980220   2840               14.76                    
302092500       19990917  150009              22.33                    
302092500       19991020   2810               15.93                    
302092500       20010324    907               11.68                    
302092500       20020306   1410               11.74                    
302092500       20030716   3200               14.70                    
302092500       20040817   3280               15.12                    
302092500       20050703   1120               11.96                    
302092500       20060903   8530               17.65                    
302092500       20061124   5400               16.64                    
302092500       20080408    989               11.91                    
302092500       20090305    438                8.82                    
302092500       20100208   2180               14.25                    
302092500       20101002   4580               16.22                    
302092500       20120827   1360               12.69                    
302092500       20130716    943               11.41                    
302092500       20140805   1450               12.92                    
302092500       20150513   3450               15.80                    
302092500       20160207   3470               15.82                    
302092500       20161010  10700               18.48                    
302092500       20180916  677002              24.23                    
302092500       20190908   2410               14.78                    
