Z02108000                       USGS 
H02108000       3449440774956003737061SW03030007599            17.28            
N02108000       NORTHEAST CAPE FEAR RIVER NEAR CHINQUAPIN, NC
Y02108000       
302108000       1908                          22.603Bm                   
302108000       1928                          21.803Bm                   
302108000       19410312   2810               10.80                    
302108000       19420911   3850               12.59                    
302108000       19421016  11000               16.74                    
302108000       19440217   2610               10.90                    
302108000       19450920   4370               13.09                    
302108000       19460121   2700               10.93                    
302108000       19461012   3500               12.12                    
302108000       19480216   6700               14.93                    
302108000       19490505   4400               13.21                    
302108000       19500711   7800               15.29                    
302108000       19501022   3080               11.41                    
302108000       19520301   2530               10.48                    
302108000       19530619   2020                9.77                    
302108000       19540412   2210               10.05                    
302108000       19550922  15200               17.97                    
302108000       19560510   3850               12.85                    
302108000       19570611   2710               11.42                    
302108000       19580509   3380               12.33                    
302108000       19590308  10300               15.77                    
302108000       19600801  10200               16.21                    
302108000       19610630   8350               14.95                    
302108000       19620706  20400               20.16                    
302108000       19630123   6200               14.16                    
302108000       19640917   5340               13.57                    
302108000       19641009   7310               14.94                    
302108000       19660307   6140               13.71                    
302108000       19670212   2960               11.07                    
302108000       19680116   4370               12.56                    
302108000       19690522   9480               14.79                    
302108000       19700207   3970               12.61                    
302108000       19710306  10000               14.91                    
302108000       19720206   3630               12.23                    
302108000       19730404   8230               15.46                    
302108000       19740810   4880               13.16                    
302108000       19750221   2740                                        
302108000       19760131   5580               13.85                    
302108000       19770324   4020               12.38                    
302108000       19780428   5630               13.83                    
302108000       19790907   5900               14.01                    
302108000       19800401   5240               13.56                    
302108000       19810822   4980               13.37                    
302108000       19820107   3150               11.67                    
302108000       19830322   7410               14.92                    
302108000       19840918   6900               14.63                    
302108000       19850214   3230               11.76                    
302108000       19860823   3120               11.64                    
302108000       19870125   5260               13.57                    
302108000       19880525   1890                9.66                    
302108000       19890327   2970               11.46                    
302108000       19891212   3390               11.94                    
302108000       19910804   4520               13.01                    
302108000       19920820  10400               16.59                    
302108000       19930112   7130               14.86                    
302108000       19940305   4020               12.56                    
302108000       19950221   4670               13.13                    
302108000       19960908   9710               16.26                    
302108000       19961011   8110               15.43                    
302108000       19980219   8310               15.51                    
302108000       19990918  30700               23.51                    
302108000       19991022   7720               15.39                    
302108000       20010323   5680               14.02                    
302108000       20020305   2780               11.22                    
302108000       20030717   5520               13.92                    
302108000       20040817   4180               12.79                    
302108000       20050510   1440                8.94                    
302108000       20060902  14700               18.80                    
302108000       20061124  10900               17.08                    
302108000       20080408   3850               12.47                    
302108000       20090304   2290               10.30                    
302108000       20100208   5640               13.97                    
302108000       20101001   8880               16.03                    
302108000       20120603   3710               12.32                    
302108000       20130704   7680               15.34                    
302108000       20140806   4610               13.15                    
302108000       20150514   6010               14.06                    
302108000       20160208   7250               15.07                    
302108000       20161011  18200               19.98                    
302108000       20180917  4130029             25.77                    
302108000       20190909   8860               15.37                    
