Z02112120                       USGS 
H02112120       3615010810240003737193SW03040101128            964.85           
N02112120       ROARING RIVER NEAR ROARING RIVER, NC
Y02112120       
302112120       1916      4500027Bm           28.005Bm                   
302112120       1940      3100027Bm           24.005Bm                   
302112120       19650808   4560                9.05                    
302112120       19660213   6130               10.83                    
302112120       19661019   1750                5.08                    
302112120       19680712   2040                5.56                    
302112120       19690802   3780                7.98                    
302112120       19700810   9240               14.40                    
302112120       19710921  13200               17.32                    
302112120       19720621   5680               10.85                    
302112120       19730528   5540               10.68                    
302112120       19740404   8670               13.87                    
302112120       19750921   7610               12.57                    
302112120       19751017  26600               22.54                    
302112120       19761008   6180               10.98                    
302112120       19771106  12700               16.53                    
302112120       19790922  17300               18.88                    
302112120       19800409  10200               13.89                    
302112120       19810528   2370                5.60                    
302112120       19820714   3610                7.21                    
302112120       19830410  11800               15.08                    
302112120       19840214   4010                7.70                    
302112120       19850818   2740                6.10                    
302112120       19851104   1670                4.54                    
302112120       19870301   9750               13.54                    
302112120       19880404   1400                4.11                    
302112120       19890922   7910               11.88                    
302112120       19891116   5970                9.95                    
302112120       19901012   4540                8.37                    
302112120       19920724   9010               12.88                    
302112120       19930323  12200               15.43                    
302112120       19940817  17900               18.87                    
302112120       19950114   4910                8.79                    
302112120       19960812  12300               15.52                    
302112120       19961201   4960                8.85                    
302112120       19980108   9320               13.16                    
302112120       19981008   3940                7.61                    
302112120       19991126   1100                3.60                    
302112120       20010329   1930                4.94                    
302112120       20020927   1110                3.62                    
302112120       20030410   4920                8.81                    
302112120       20031119   6180               10.17                    
302112120       20050114   3610                7.21                    
302112120       20060627   5060                8.71                    
302112120       20070101   4100                7.62                    
302112120       20080827   4010                7.51                    
302112120       20090107   4960                8.60                    
302112120       20100125   7530               11.25                    
302112120       20110306   9000               12.64                    
302112120       20120514   3690                7.13                    
302112120       20130117   6040                9.76                    
302112120       20131223   3720                7.17                    
