Z02128000                       USGS 
H02128000       3523140794953003737123SW03040104106            409.00           
N02128000       LITTLE RIVER NEAR STAR, NC
Y02128000       
302128000       194509                        20.005Bd                   
302128000       19541015  10400               16.46                    
302128000       19560316   4600               10.51                    
302128000       19570228   2650                7.87                    
302128000       19580428   4440               10.28                    
302128000       19590419   3640                9.34                    
302128000       19600131   4840               10.76                    
302128000       19610221   3480                9.08                    
302128000       19620106   5670               11.78                    
302128000       19621204   2850                8.15                    
302128000       19640408   3480                9.10                    
302128000       19641016   4040                9.80                    
302128000       19660304   4240               10.05                    
302128000       19670823   1780                6.47                    
302128000       19671228   2680                7.94                    
302128000       19690319   2640                7.88                    
302128000       19700810   3820                9.52                    
302128000       19710303   4460               10.33                    
302128000       19720621   5590               11.69                    
302128000       19721215   7520               13.67                    
302128000       19740907   2460                7.59                    
302128000       19750716   4700               10.63                    
302128000       19760620   4860               10.82                    
302128000       19770330   4670               10.59                    
302128000       19771026   5370               11.44                    
302128000       19790906   6670               12.83                    
302128000       19800118   2390                7.48                    
302128000       19810812   7370               13.53                    
302128000       19820203   3140                8.63                    
302128000       19830214   3310                8.87                    
302128000       19831206   5160               11.18                    
302128000       19850818   5080               11.09                    
302128000       19851121   5430               11.50                    
302128000       19870416   4920               10.89                    
302128000       19880311   1180                5.25                    
302128000       19890324   7770               13.09                    
302128000       19891002   6930               12.32                    
302128000       19901023   9110               14.11                    
302128000       19920422   7090               12.47                    
302128000       19930304   7230               12.61                    
302128000       19940610   5890               11.30                    
302128000       19950216   4440                9.76                    
302128000       19960906   6840               12.31                    
302128000       19970723  15400               18.60                    
302128000       19980319  11300               15.84                    
302128000       19990930   4810               10.25                    
302128000       20000131   2090                6.69                    
302128000       20010330   1700                7.13                    
302128000       20020123   2050                7.79                    
302128000       20030810  10600               15.40                    
302128000       20040908   5790               11.49                    
302128000       20050114   3920                9.50                    
302128000       20060423   2900                8.17                    
302128000       20061122   6760               12.38                    
302128000       20080828   1670                6.16                    
302128000       20090302   3890                9.46                    
302128000       20100206   5560               11.26                    
302128000       20110928   4240                9.87                    
302128000       20120711   1590                6.02                    
302128000       20130608   4160                9.78                    
302128000       20140307   4680               10.36                    
302128000       20141224   2020                6.79                    
302128000       20151231   5070               10.77                    
302128000       20161008   4820               10.51                    
302128000       20180917  35000               28.80                    
302128000       20181113   8980               14.20                    
