Z02149000                       USGS 
H02149000       3525240820642003737161SW0305010579             815.40           
N02149000       COVE CREEK NEAR LAKE LURE, NC
Y02149000       
302149000       1916                          23.00Bm                   
302149000       19520311   4400               14.00                    
302149000       19530323   1770                8.00                    
302149000       19540122   3180               11.50                    
302149000       19550414   2510               10.28                    
302149000       19560416   1060                6.26                    
302149000       19570605   7050               18.53                    
302149000       19580406   1270                7.05                    
302149000       19590930   2230                9.59                    
302149000       19600205   2940               11.27                    
302149000       19610824   4690               14.67                    
302149000       19611212   2270                9.74                    
302149000       19630312   2860               11.35                    
302149000       19640407   2080                9.36                    
302149000       19641004   5730               17.21                    
302149000       19660213   5200               16.33                    
302149000       19670824   2260                9.86                    
302149000       19680312   2900               11.45                    
302149000       19681019   4960               15.93                    
302149000       19691101   2180                9.63                    
302149000       19701030   1340                7.00                    
302149000       19720621   2870               11.38                    
302149000       19730202   3380               11.83                    
302149000       19740610   4430               14.16                    
302149000       19750314   6040               17.73                    
302149000       19751017   2780               11.16                    
302149000       19761009   2680               10.90                    
302149000       19771106   6050               17.76                    
302149000       19790323   5080               16.18                    
302149000       19800408   3490               12.95                    
302149000       19810211    930                5.30                    
302149000       19820527   2580               10.64                    
302149000       19830202   5250               16.47                    
302149000       19840528   3710               12.59                    
302149000       19850817   2100                8.60                    
302149000       19860823   5070               15.45                    
302149000       19870301   4270               13.83                    
302149000       19880120    776                4.62                    
302149000       19890828   2160                8.76                    
302149000       19900825   3920               13.04                    
302149000       19901012   5480               16.37                    
302149000       19920617   1720                7.55                    
302149000       19930323   3980               13.17                    
302149000       19940817   5440               16.28                    
302149000       19950115   4500               14.30                    
302149000       19960127   3400               11.88                    
302149000       19970314   2750               10.30                    
302149000       19980108   3910               13.96                    
302149000       19981008    529                3.83                    
302149000       20000320   2380                9.35                    
302149000       20010329   1140                5.80                    
302149000       20020927    414                3.50                    
302149000       20030731   3170               11.33                    
302149000       20040908   65509              18.41                    
302149000       20050707   4230               13.74                    
302149000       20060626   1880                8.00                    
302149000       20070101   2510                9.69                    
302149000       20080827   2350                9.26                    
302149000       20090526   2720               10.24                    
302149000       20100125   4300               13.88                    
302149000       20101201   3820               12.82                    
302149000       20120918   1540                7.02                    
302149000       20130506   4850               15.00                    
302149000       20140629   2640               10.02                    
302149000       20150419   1760                7.11                    
302149000       20160203   4310               13.40                    
302149000       20170814   3180               10.64                    
302149000       20180530   5450               16.07                    
302149000       20181011   5390               15.94                    
