Z02196000                       USGS 
H02196000       3343450821055004545037SW03060107545           195.81            
N02196000       STEVENS CREEK NEAR MODOC, SC
Y02196000       
302196000       19310401   55507                                       
302196000       19400814  35100               41.083                   
302196000       19410625   6000               17.002                   
302196000       19420322  16800               29.64                    
302196000       19430119  18700               30.67                    
302196000       19440321  26200               35.88                    
302196000       19450425   7220               20.10                    
302196000       19451226  11800               25.27                    
302196000       19470308  11000               24.41                    
302196000       19480210  14200               27.36                    
302196000       19481129  17700               30.27                    
302196000       19500307   4060               14.50                    
302196000       19510403   6760               19.66                    
302196000       19520305  18200               30.59                    
302196000       19530215   8360               21.51                    
302196000       19540116   4110               14.47                    
302196000       19550415  11300               24.75                    
302196000       19560412   9430               22.74                    
302196000       19570505   7330               20.32                    
302196000       19580416  15900               28.87                    
302196000       19590306   7600               20.60                    
302196000       19600131  16100               29.07                    
302196000       19610225  19000               31.26                    
302196000       19620107  20900               32.57                    
302196000       19630313  10100               23.44                    
302196000       19640831  30900               38.89                    
302196000       19641227  20700               32.90                    
302196000       19660305  13200               27.13                    
302196000       19670523   7020               20.28                    
302196000       19680111  14400               28.15                    
302196000       19690416  22700               34.25                    
302196000       19700322  10800               24.66                    
302196000       19710303  20100               32.47                    
302196000       19720112  13200               27.07                    
302196000       19730401  14100               27.92                    
302196000       19740405  13400               27.28                    
302196000       19750403  16900               30.16                    
302196000       19760317  12100               25.97                    
302196000       19761009  17800               30.87                    
302196000       19780509  12000               25.94                    
302196000       19840111  10300               24.18                    
302196000       19850206  12400               26.31                    
302196000       19851004   7950               21.41                    
302196000       19870123  10400               24.25                    
302196000       19880909   4760               15.93                    
302196000       19890324  11600               25.54                    
302196000       19900219   9540               23.32                    
302196000       19901012  27800               37.50                    
302196000       19920307   9720               23.53                    
302196000       19921127  14700               28.45                    
302196000       19940628  17300               30.49                    
302196000       19950115  11800               25.76                    
302196000       19960308  12700               26.66                    
302196000       19970215  10500               24.41                    
302196000       19980309  17900               30.92                    
302196000       19990202   7640               20.98                    
302196000       20000125   7420               21.676                   
302196000       20010315   6570               20.36                    
302196000       20020918   4390               16.03                    
302196000       20030321  16700               31.00                    
302196000       20040928   3370               13.28                    
302196000       20050328   7860               22.29                    
302196000       20060226   3070               12.32                    
302196000       20070302  17600               31.74                    
302196000       20080305   3310               13.10                    
302196000       20090301  10700               25.60                    
302196000       20091112  17400               31.54                    
302196000       20110327   3690               14.19                    
302196000       20120225   2080                9.07                    
302196000       20130819  13800               28.60                    
302196000       20140112  11900               26.84                    
302196000       20150603   8890               20.41                    
302196000       20151224  17300               30.67                    
302196000       20170406  10500               22.68                    
302196000       20180530   9380               18.79                    
302196000       20181209  13800               24.98                    
