Z02221525                       USGS 
H02221525       3315080832853001313237SW03070101190    190     374.7            
N02221525       MURDER CREEK BELOW EATONTON, GA
Y02221525       
302221525       19481130                      14.905                   
302221525       19610227   650027              9.60                    
302221525       19780126   4910                7.68                    
302221525       19790224   6270                9.19                    
302221525       19800329   3050                5.75                    
302221525       19810211   4280                6.98                    
302221525       19820204   4910                7.68                    
302221525       19830409   6700                9.67                    
302221525       19840802   5500                8.34                    
302221525       19850206   3910                6.62                    
302221525       19860320   1280                4.03                    
302221525       19870302   1960                4.72                    
302221525       19880206   1480                4.24                    
302221525       19890415   1450                4.25                    
302221525       19900318   9630               13.13                    
302221525       19910507   2000                4.95                    
302221525       19920823   1970                4.91                    
302221525       19921126   5500                8.89                    
302221525       19940706   3480                6.70                    
302221525       19950212   5410                8.80                    
302221525       19960307   4240                7.54                    
302221525       19970302   3480                6.70                    
302221525       19980309   8310               11.81                    
302221525       19990201   1520                4.35                    
302221525       20000124   1180                3.89                    
302221525       20010612   3030                6.18                    
302221525       20020207   1050                3.72                    
302221525       20030703   2970                6.11                    
302221525       20040928   3160                6.33                    
302221525       20050329   1940                4.88                    
302221525       20060226    978                3.62                    
302221525       20070302   2120                5.10                    
302221525       20080201    583                3.03                    
302221525       20090403   2800                5.92                    
302221525       20091219   3050                6.21                    
302221525       20110205   1230                3.96                    
302221525       20120225    811                3.39                    
302221525       20130819   2830                5.96                    
302221525       20131230   2460                5.52                    
302221525       20141224   1330                4.10                    
302221525       20151231   3640                6.89                    
302221525       20170103   1290                4.05                    
302221525       20180424   2690                5.80                    
302221525       20190105   2900                6.04                    
