Z02246000                       USGS 
H02246000       3006470815424001212019SW03080103177            1.02             
N02246000       NORTH FORK BLACK CREEK NEAR MIDDLEBURG, FL
Y02246000       
302246000       191906    150007Bd            25.30Bd                   
302246000       19320916    929                8.88                    
302246000       19330906   6000               19.35                    
302246000       19340615   5580               18.53                    
302246000       19350906   3340               16.38                    
302246000       19360208   1190               10.72                    
302246000       19370222   2220               15.18                    
302246000       19371002   4620               18.05                    
302246000       19381025   6990               20.20                    
302246000       19400219   1630               13.68                    
302246000       19410724   1430               12.84                    
302246000       19411022   5020               18.44                    
302246000       19430815   2290               15.28                    
302246000       19440828   1940               14.68                    
302246000       19441019  10400               23.76                    
302246000       19460921   2720               15.86                    
302246000       19470924   9560               22.34                    
302246000       19480310   7290               20.12                    
302246000       19481003   8840               21.57                    
302246000       19500907   7700               20.48                    
302246000       19501019   8120               20.88                    
302246000       19520924   1270               11.60                    
302246000       19530828   4890               17.78                    
302246000       19531226   2810               15.76                    
302246000       19550915    819                8.626                   
302246000       19560630    873                9.01                    
302246000       19561017   6560               19.39                    
302246000       19580411   2590               15.47                    
302246000       19590522   6160               19.01                    
302246000       19600318   6420               19.26                    
302246000       19610827   6120               18.97                    
302246000       19620808   1710               13.84                    
302246000       19630928   3290               16.23                    
302246000       19640503  12600               23.91                    
302246000       19650816   4770               17.70                    
302246000       19660301   4550               17.50                    
302246000       19670814   5260               18.15                    
302246000       19680830  11700               23.32                    
302246000       19690217   2080               14.71                    
302246000       19700204  10500               22.47                    
302246000       19710817   4250               17.23                    
302246000       19720620   3350               16.35                    
302246000       19730405   5870               18.70                    
302246000       19740906   5040               17.95                    
302246000       19750916   1350               12.28                    
302246000       19760909    727               12.28                    
302246000       19770205   2020               14.62                    
302246000       19780506   2780               15.72                    
302246000       19790917   4750               17.68                    
302246000       19800311   8440               20.87                    
302246000       19810220    929                9.22                    
302246000       19820911   3400               16.40                    
302246000       19830318   2220               14.88                    
302246000       19840322   6100               18.99                    
302246000       19850901   4470               17.44                    
302246000       19860316   1520               13.07                    
302246000       19870331   3580               16.61                    
302246000       19880221   5230               18.18                    
302246000       19890929   3640               16.67                    
302246000       19900224    612                6.77                    
302246000       19910713   3040               16.02                    
302246000       19911002   5940               18.85                    
302246000       19921004  12700               24.69                    
302246000       19940131   3420               16.30                    
302246000       19941012   4180               17.01                    
302246000       19960815   1570               13.30                    
302246000       19961008  10700               22.95                    
302246000       19980217   9710               22.40                    
302246000       19981002   1920               14.27                    
302246000       20000909   1380               12.40                    
302246000       20010915   5770               18.47                    
302246000       20020916   2620               15.46                    
302246000       20030310   7870               20.39                    
302246000       20040908   8630               21.07                    
302246000       20050716   2190               14.80                    
302246000       20051219   5900               18.59                    
302246000       20070924    283                3.756                   
302246000       20080823   9070               21.47                    
302246000       20090521   6690               19.31                    
302246000       20100214    832                8.62                    
302246000       20110211    555                7.40                    
302246000       20120627  18000               25.26                    
302246000       20130504   7010               19.15                    
302246000       20140319   2910               14.81                    
302246000       20150901   12801                                       
302246000       20160206    9301                                       
302246000       20170911  1930012                                      
302246000       20180731   22801                                       
302246000       20181216   16501                                       
