Z02297155                       USGS 
H02297155       2729130820125001212049SW0310010142.0   42.00   58.12            
N02297155       HORSE CREEK NEAR MYAKKA HEAD FL
Y02297155       
302297155       19771216    904               20.58                    
302297155       19790914    754               19.32                    
302297155       19800402    602               17.91                    
302297155       19810908   1030               21.61                    
302297155       19820618   1380               22.70                    
302297155       19821005    884               19.96                    
302297155       19831230    352               15.23                    
302297155       19850901    767               19.16                    
302297155       19851006    663               18.33                    
302297155       19870329    558               17.41                    
302297155       19880906   2310               24.34                    
302297155       19890905    355               15.26                    
302297155       19900721    421               16.12                    
302297155       19910630    915               20.97                    
302297155       19920809   2470               23.62                    
302297155       19930401    495               17.14                    
302297155       19940916   1550               22.79                    
302297155       19950803    763               19.92                    
302297155       19951005    374               15.69                    
302297155       19970927    420               16.35                    
302297155       19980320   2500               23.65                    
302297155       19990618    524               17.55                    
302297155       19991005    235               13.89                    
302297155       20010914   2320               23.46                    
302297155       20020703   1010               21.35                    
302297155       20030621   3610               24.67                    
302297155       20040906   1790               22.78                    
302297155       20050228    870               20.69                    
302297155       20051024    345               16.12                    
302297155       20070803   17.0                9.83                    
302297155       20080831   85.0               11.50                    
302297155       20090916    494               17.21                    
302297155       20100913    344               15.42                    
302297155       20110826    156               12.62                    
302297155       20120922    538               17.72                    
302297155       20130901    639               18.79                    
302297155       20140928    498               17.27                    
302297155       20150830    603               18.41                    
302297155       20160901    6052              18.44                    
302297155       20181220    575               18.12                    
