Z02298123                       USGS 
H02298123       2703060814705001212027SW03100101233    233.00  25.00            
N02298123       PRAIRIE CREEK NEAR FORT OGDEN FL
Y02298123       
302298123       19640916   2200               11.97                    
302298123       19650721   1430               10.84                    
302298123       19660816   1130               10.26                    
302298123       19661009   1280               10.56                    
302298123       19680610   2860               12.88                    
302298123       19780806   1160               10.92                    
302298123       19790916   2560               12.54                    
302298123       19791001   4280               14.19                    
302298123       19810919   1050               10.91                    
302298123       19820625   4800               13.42                    
302298123       19830217   1970               11.07                    
302298123       19840314   3810               12.84                    
302298123       19850906   1080               10.36                    
302298123       19860624   1470               10.91                    
302298123       19870404   1130               10.43                    
302298123       19880910   1740               11.28                    
302298123       19890815   1060               10.42                    
302298123       19900820   1420               10.93                    
302298123       19910806   1450               10.97                    
302298123       19920629   2800               12.52                    
302298123       19930904    937               10.37                    
302298123       19940916   1770               11.61                    
302298123       19950826   5320               13.75                    
302298123       19951011   1670               11.09                    
302298123       19970928    990               10.71                    
302298123       19980321   1960               11.52                    
302298123       19990630   2080               11.82                    
302298123       19991006    540                9.11                    
302298123       20010915   2540               12.13                    
302298123       20020702   2680               11.87                    
302298123       20030623   3180               12.30                    
302298123       20040816   2500               11.97                    
302298123       20050606   3050               12.45                    
302298123       20060911   1550               11.10                    
302298123       20070728    463                7.97                    
302298123       20080828   1730               11.28                    
302298123       20090706   1410               10.81                    
302298123       20100707   1330               10.70                    
302298123       20110908   1010               10.01                    
302298123       20120830   1350               10.82                    
302298123       20130703   3320               12.54                    
302298123       20140724    820                9.47                    
302298123       20150831   2480               12.08                    
302298123       20160129   2290               11.67                    
302298123       20170911   67709              14.83                    
302298123       20180614   1150               10.37                    
302298123       20190819   1480               10.78                    
