Z02300700                       USGS 
H02300700       2747300822108001212057SW0310020629.1   29.1    -0.88            
N02300700       BULLFROG CREEK NEAR WIMAUMA FL
Y02300700       
302300700       19580416    958               27.80                    
302300700       19590619   2820               29.01                    
302300700       19600911   5200               30.59                    
302300700       1961        2802Bm                                     
302300700       19620921   3830               29.82                    
302300700       19630924   1330               27.32                    
302300700       19640113   4650               30.31                    
302300700       19650801   2750               28.94                    
302300700       19660807    560               25.20                    
302300700       19670813   1700               27.84                    
302300700       19671001    400               24.07                    
302300700       19690903    835               25.73                    
302300700       19691211    785               25.61                    
302300700       19710914    569               25.71                    
302300700       19720827    520               25.46                    
302300700       19730405   2730               28.92                    
302300700       19740703    588               25.69                    
302300700       19770825   1030               26.77                    
302300700       19780219    709               25.96                    
302300700       19790924    957               26.63                    
302300700       19800825    215               22.29                    
302300700       19810821    823               26.31                    
302300700       19820618   2360               28.86                    
302300700       19830202   1090               27.04                    
302300700       19831230    402               24.21                    
302300700       19850902    670               26.35                    
302300700       19860316    688               25.94                    
302300700       19870331   1250               27.38                    
302300700       19880907   3970               30.31                    
302300700       19890910    8002                                       
302300700       19900903    307               23.85                    
302300700       19910713   2250               28.67                    
302300700       19920626   1710               28.25                    
302300700       19930313    355               24.34                    
302300700       19940927   1340               27.89                    
302300700       19950803    964               27.21                    
302300700       19960102   1720               28.26                    
302300700       19970927   4100               30.64                    
302300700       19971213   2210               28.86                    
302300700       19990824    445               24.87                    
302300700       20000909    691               26.24                    
302300700       20010914   4760               30.41                    
302300700       20020702    917               27.01                    
302300700       20030101   2690               29.24                    
302300700       20040906   2990               29.45                    
302300700       20050318    715               26.352                   
302300700       20060709    665               26.18                    
302300700       20070803    204               22.97                    
302300700       20071007    999               27.24                    
302300700       20090702   1710               28.39                    
302300700       20100329    405               25.78                    
302300700       20110401    434               25.94                    
302300700       20120626   3150               29.50                    
302300700       20121005    852               27.69                    
302300700       20140929    652               26.85                    
302300700       20150801    900               27.54                    
302300700       20160607   1310               28.32                    
302300700       20170911   24609              29.57                    
302300700       20181221    934               27.83                    
