Z02324400                       USGS 
H02324400       3005530832819001212123SW0311010260.00  60      53.59            
N02324400       FENHOLLOWAY RIVER NEAR FOLEY, FLA.
Y02324400       
302324400       19560508    236                7.94                    
302324400       19570609   1620               14.08                    
302324400       19571002   1290               13.42                    
302324400       19590317    695               12.15                    
302324400       19600928    601               11.75                    
302324400       19601008    587               11.67                    
302324400       19620923    138                5.71                    
302324400       19630112    284                8.49                    
302324400       19640912   3210               15.21                    
302324400       19641206    265                8.12                    
302324400       19660809    684               11.97                    
302324400       19670213    171                6.38                    
302324400       19680722   81.0                4.37                    
302324400       19690521    397               10.07                    
302324400       19700814   2010               14.37                    
302324400       19710830    229                7.52                    
302324400       19720401    328                9.15                    
302324400       19730404    982               12.83                    
302324400       19740807    449               10.59                    
302324400       19750126    172                6.40                    
302324400       19760910    159                6.14                    
302324400       19761215    335                9.24                    
302324400       19780310    228                7.65                    
302324400       19790928    205                7.33                    
302324400       19800726    682               11.96                    
302324400       19801031    183                6.87                    
302324400       19820728    733               12.14                    
302324400       19830410    490               10.91                    
302324400       19840719    644               11.71                    
302324400       19850901    701               11.96                    
302324400       19860211    364                9.64                    
302324400       19870223    404               11.03                    
302324400       19880909    233                7.73                    
302324400       19881003    123                5.71                    
302324400       19900714    106                5.24                    
302324400       19910303    884               12.60                    
302324400       19920818    224                7.42                    
302324400       19930116    187                6.93                    
302324400       19940817    379               10.22                    
302324400       19941013    220                7.99                    
302324400       19960805   79.0                4.902                   
302324400       19961008    229                8.14                    
302324400       19980223    552               11.97                    
302324400       19981001    479               11.28                    
302324400       20000920    123                5.59                    
302324400       20010725    119                5.50                    
302324400       20020303   79.0                4.56                    
302324400       20030309    980               12.83                    
302324400       20040927    635               11.89                    
302324400       20050402    529               11.32                    
302324400       20060204    118                5.83                    
302324400       20070106   14.0                2.372                   
302324400       20080823    176                6.95                    
302324400       20090918   81.0                4.93                    
302324400       20100122    299                8.79                    
302324400       20101001    157                6.49                    
302324400       20120822    503               11.34                    
302324400       20130823    857               12.55                    
302324400       20140408    767               12.50                    
302324400       20150228    162                6.70                    
302324400       20160904    209                7.41                    
302324400       20170404    179                6.88                    
302324400       20180831    430               10.86                    
302324400       20190819    549               11.54                    
