Z02369800                       USGS 
H02369800       3101390864236000101053SW0314010487.70  87.7    121.87           
N02369800       BLACKWATER RIVER NEAR BRADLEY AL
Y02369800       
302369800       19671211    358                4.84                    
302369800       19690921   2500               14.10                    
302369800       19700604  15000               24.20        1929          
302369800       19710801    786                7.78                    
302369800       19720509   1230                9.84                    
302369800       19721221   4760               17.10                    
302369800       19740909   1980               12.56                    
302369800       19750731   8700               20.37                    
302369800       19751113   2280               13.45                    
302369800       19770331   1760               11.86                    
302369800       19780125   5200               17.33                    
302369800       19790304   2380               13.70                    
302369800       19800330   2760               14.52                    
302369800       19810211   2220               13.31                    
302369800       19820203   2040               12.79                    
302369800       19830202   1720               11.72                    
302369800       19840306   2010               12.69                    
302369800       19850206   2890               14.78                    
302369800       19860314   2310               13.54                    
302369800       19870814   1850               12.44                    
302369800       19880917   4670               16.88                    
302369800       19890616   4190               16.43                    
302369800       19900317  17700               25.35                    
302369800       19910131   2120               13.23                    
302369800       19920114   1440               10.98                    
302369800       19921125   2490               14.10                    
302369800       19940707   5850               17.83                    
302369800       19950211   4200               16.44                    
302369800       19951005   9560               19.98                    
302369800       19970215    989                8.80                    
302369800       19980308  17500               25.30                    
302369800       19990713    601                5.90                    
302369800       20000110    280                3.35                    
302369800       20010304   1530               11.27                    
302369800       20020926   1010                8.61                    
302369800       20030807   2460               13.91                    
302369800       20040917   3140               15.05                    
302369800       20050401   3730               15.84                    
302369800       20060102    993                8.52                    
302369800       20070403   2920               14.71                    
302369800       20080201   2700               14.35                    
302369800       20090328   6470               18.64                    
302369800       20100121   3060               14.94                    
302369800       20110106    824                7.43                    
302369800       20120611   1110                9.26                    
302369800       20130226   1760               12.65                    
302369800       20140419   2320               13.82                    
302369800       20141225    800                7.52                    
302369800       20151224   3040               14.79                    
302369800       20170622   2590               14.19                    
302369800       20171008   3100               14.87                    
302369800       20181229   1670               12.39                    
