Z02395120                       USGS 
H02395120       3414340845323001313015SW0315010433.10  33.10   723.2            
N02395120       TWO RUN CREEK NEAR KINGSTON, GA
Y02395120       
302395120       19810330    531                5.04                    
302395120       19820203   3180                7.91                    
302395120       19830519   1140                5.99                    
302395120       19831204   1370                6.27                    
302395120       19850201    394                3.82                    
302395120       19851001    118                1.89                    
302395120       19870228   1330                6.23                    
302395120       19880120    692                5.15                    
302395120       19890305   2170                7.10                    
302395120       19900316   2940                7.74                    
302395120       19910329   1020                5.77                    
302395120       19920822   1510                6.42                    
302395120       19921125   1360                6.24                    
302395120       19940328   1120                5.91                    
302395120       19950308   1170                5.99                    
302395120       19960127   3960                8.42                    
302395120       19970503   1220                6.06                    
302395120       19971026   2030                6.97                    
302395120       19990712   4300                8.65                    
302395120       20000403   1680                6.61                    
302395120       20010605   1210                6.04                    
302395120       20020125   1020                5.77                    
302395120       20030306   2760                7.60                    
302395120       20040206   1160                5.97                    
302395120       20050711   1900                6.86                    
302395120       20060321    397                3.88                    
302395120       20061115    315                3.26                    
302395120       20080713    349                3.52                    
302395120       20090106   1910                6.87                    
302395120       20100124   1980                6.93                    
302395120       20110309   1040                5.80                    
302395120       20120303    522                4.64                    
302395120       20130519   1790                6.74                    
302395120       20140407   1870                6.82                    
302395120       20150104   1330                6.21                    
302395120       20151224   4600                8.86                    
302395120       20170912   1390                6.28                    
302395120       20180211   1660                6.60                    
302395120       20181112   2100                7.05                    
