Z02408540                       USGS 
H02408540       3255000861613000101037SW03150107263.00 263.00  377              
N02408540       HATCHET CREEK BELOW ROCKFORD AL
Y02408540       
302408540       19790413  6500027                                      
302408540       19810210  10800               16.48                    
302408540       19820203  23500               25.65                    
302408540       19830408  15200               19.69                    
302408540       19831203  16200               20.41                    
302408540       19850205   4500               10.50                    
302408540       19851213   2020                6.84                    
302408540       19870119   7820               14.31                    
302408540       19880917  21200               24.40                    
302408540       19890619  12800               18.53                    
302408540       19900216  26200               27.10                    
302408540       19910220   3880                9.43                    
302408540       19920225   6590               12.91                    
302408540       19921217  11300               17.35                    
302408540       19940416  10900               17.03                    
302408540       19950308   7230               13.68                    
302408540       19951005  27800               27.90                    
302408540       19970228  12000               17.94                    
302408540       19980308  15300               20.32                    
302408540       19990131   6760               13.11                    
302408540       20000404   4090                9.72                    
302408540       20010320   9160               15.55                    
302408540       20020125   3250                8.57                    
302408540       20030508  10700               16.85                    
302408540       20040916   8350               14.81                    
302408540       20050331  13600               19.14                    
302408540       20060321   3100                8.35                    
302408540       20061115  13800               19.27                    
302408540       20080826  10900               17.08                    
302408540       20090919  19900               23.57                    
302408540       20100124  13300               18.91                    
302408540       20110309   6650               12.98                    
302408540       20120123   7280               13.74                    
302408540       20130412   6410               12.06                    
302408540       20140407  14900               20.07                    
302408540       20150104   9000               15.41                    
302408540       20160401   7620               14.12                    
302408540       20170630   8500               14.95                    
302408540       20180530   4980               10.17                    
