Z02464000                       USGS 
H02464000       3328450873550000101125SW03160112223.00 223.00  232.39           
N02464000       NORTH RIVER NEAR SAMANTHA AL
Y02464000       
302464000       1916      2050027Bm           31.00Bm                   
302464000       1936      2050027Bm           31.00Bm                   
302464000       19390228  12000               22.96                    
302464000       19400704   6600               14.35                    
302464000       19410307   3900                9.83                    
302464000       19420217   6000               13.43                    
302464000       19421228   74302              15.95                    
302464000       19440329   8100               16.96                    
302464000       19450304   6040               13.68                    
302464000       19460210   9950               19.69                    
302464000       19470120   6590               14.63                    
302464000       19480209   5680               13.10                    
302464000       19481128  10400               20.50                    
302464000       19500313  14000               26.00                    
302464000       19510329  18000               30.70                    
302464000       19511221   7650               16.30                    
302464000       19530221   6380               14.20                    
302464000       19540116   8160               17.06                    
302464000       19550206   9140               18.60                    
302464000       19560406   5380               12.20                    
302464000       19561223   6590               14.60                    
302464000       19571119   7020               15.30                    
302464000       19590122   6710               14.80                    
302464000       19600303   9530               19.20                    
302464000       19610222  17600               30.32                    
302464000       19611218  10300               20.36                    
302464000       19630716   6320               14.17                    
302464000       19640427  10200               20.16                    
302464000       19650212   7760               16.46                    
302464000       19660428   5250               11.94                    
302464000       19670220   5010               11.46                    
302464000       19671211   8940               18.30                    
302464000       19690414   5840               13.12                    
302464000       19700320  25500               35.08                    
302464000       19710222   7610               16.18                    
302464000       19720110   8440               17.46                    
302464000       19730331   8780               17.99                    
302464000       19731226  13400               24.85                    
302464000       19750111   8980               18.29                    
302464000       19751008   6760               14.88                    
302464000       19770405  11800               22.55                    
302464000       19771009   7210               15.57                    
302464000       19790413  19400               30.55                    
302464000       19800317   9820               19.58                    
302464000       19810330   7540               16.07                    
302464000       19820104   6640               14.68                    
302464000       19830306  14500               26.58                    
302464000       19831203  19700               30.82                    
302464000       19850502   5700               12.84                    
302464000       19860313   2200                6.18                    
302464000       19870119   6970               15.19                    
302464000       19880203   2500                6.79                    
302464000       19890113   7140               15.47                    
302464000       19900216  14700               26.21                    
302464000       19910220   9870               19.67                    
302464000       19920226   3960                9.66                    
302464000       19930112   7480               15.99                    
302464000       19940328   8960               18.28                    
302464000       19950217   4310               10.25                    
302464000       19960127  10500               20.68                    
302464000       19970221   6130               13.70                    
302464000       19980107  10300               20.30                    
302464000       19990131   8450               17.48                    
302464000       20000311  11700               22.35                    
302464000       20010213   5950               13.13                    
302464000       20011214   9700               19.30                    
302464000       20030222   8670               16.51                    
302464000       20040206  12300               21.58                    
302464000       20050407   9360               17.50                    
302464000       20060206   6930               13.96                    
302464000       20061231   6240               12.91                    
302464000       20080304   6120               12.61                    
302464000       20090107  15600               24.55                    
302464000       20100503  10100               17.93                    
302464000       20110309  11900               20.26                    
302464000       20111227   5550               11.78                    
302464000       20130115   8450               15.82                    
302464000       20140407  13000               22.24                    
302464000       20150104   8050               15.73                    
302464000       20151226   5900               12.59                    
302464000       20170403   5650               12.21                    
302464000       20180423   7760               15.31                    
302464000       20181228  11100               19.92                    
