Z02465493                       USGS 
H02465493       3259500873720000101065SW0316011332.30  32.30   147.81           
N02465493       ELLIOTTS CREEK AT MOUNDVILLE AL
Y02465493       
302465493       19770321    760                6.58                    
302465493       19771026    375                6.11                    
302465493       19790413   2600                7.40                    
302465493       19800413    750                6.56                    
302465493       19810330    550                6.42                    
302465493       19820420    380                6.15                    
302465493       19830202   1360                6.85                    
302465493       19831229    560                6.43                    
302465493       19850205    365                6.08                    
302465493       19851001    160                4.92                    
302465493       19870119   1600                7.04                    
302465493       19880121   99.0                3.98                    
302465493       19890304    475                6.31                    
302465493       19900216   6200                8.80                    
302465493       19910220    560                6.43                    
302465493       19920904    280                5.90                    
302465493       19930122    250                5.72                    
302465493       19940127    260                5.74                    
302465493       19950301    480                6.33                    
302465493       19960127    900                6.83                    
302465493       19970722    828                6.75                    
302465493       19980107    897                6.82                    
302465493       19990130   1460                7.26                    
302465493       20000403    524                6.37                    
302465493       20010904    420                6.21                    
302465493       20020125    360                6.07                    
302465493       20030425   1160                7.05                    
302465493       20040206    961                6.88                    
302465493       20050711   2000                7.56                    
302465493       20060321    325                6.00                    
302465493       20061022    158                4.89                    
302465493       20080222    195                5.27                    
302465493       20090921   6430                9.76                    
302465493       20091110    665                6.87                    
302465493       20110310    679                6.89                    
302465493       20120127    330                5.91                    
302465493       20130131    419                6.31                    
302465493       20140407    907                7.16                    
302465493       20150104    557                6.69                    
302465493       20160204    366                6.09                    
302465493       20170624   1380                7.58                    
302465493       20180415    434                6.37                    
302465493       20181228   1020                7.27                    
