Z02479155                       USGS 
H02479155       3101310890100002828111SW0317000752.6   52.6    103              
N02479155       CYPRESS CREEK NR JANICE, MS
Y02479155       
302479155       19590601  167007              32.06                    
302479155       19670101   1300               12.93                    
302479155       19671219   4020               20.43                    
302479155       19690413   7720               26.01                    
302479155       19700304   2020               16.98                    
302479155       19710512   1950               16.66                    
302479155       19720301   1870               16.27                    
302479155       19730325   3700               21.66                    
302479155       19740413   3550               21.42                    
302479155       19750414   4130               22.38                    
302479155       19751001   2280               18.49                    
302479155       19770331   2610               19.51                    
302479155       19780503   2910               20.20                    
302479155       19790404  10700               28.67                    
302479155       19800330   3900               22.03                    
302479155       19810210   5650               24.25                    
302479155       19820203   2380               18.83                    
302479155       19830407  12100               29.51                    
302479155       19840227   2590               19.51                    
302479155       19850923   2960               20.41                    
302479155       19851030   3070               20.65                    
302479155       19870814   1630               15.69                    
302479155       19880325   2030               17.49                    
302479155       19890608   6500               25.50                    
302479155       19900513   4070               22.43                    
302479155       19910511   4580               23.19                    
302479155       19920420   5080               23.86                    
302479155       19930121   8980               27.56                    
302479155       19940205   1110               13.11                    
302479155       19941204   3240               20.99                    
302479155       19951219   2350               18.76                    
302479155       19970618   2430               19.07                    
302479155       19980929   4790               24.04                    
302479155       19990314   4560               23.79                    
302479155       19991009    962               12.32                    
302479155       20010611   3610               22.51                    
302479155       20020926   1980               19.38                    
302479155       20030701   7190               26.22                    
302479155       20040513   2640               21.05                    
302479155       20050830   5830               25.02                    
302479155       20060226    719               12.41                    
302479155       20061231   2790               21.25                    
302479155       20080201   1230               15.88                    
302479155       20090327   3340               22.13                    
302479155       20091218   2130               19.87                    
302479155       20110310   2100               19.77                    
302479155       20120830   9950               28.22                    
302479155       20130502   2150               19.94                    
302479155       20140510   1810               18.81                    
302479155       20150311   2560               20.85                    
302479155       20160311   6880               25.96                    
302479155       20170102   4870               24.04                    
302479155       20180415   2720               21.14                    
302479155       20181228   4620               23.76                    
