Z02479560                       USGS 
H02479560       3048420882731002801039SW03170008562.00 562.00  46.00            
N02479560       ESCATAWPA RIVER NEAR AGRICOLA MS
Y02479560       
302479560       19460328   86002                                       
302479560       19470416   84802                                       
302479560       19480307  149002                                       
302479560       19491128  262002                                       
302479560       19510331  113002                                       
302479560       19520520   52802                                       
302479560       19530225   60002                                       
302479560       19541208   59202                                       
302479560       19560711  139002                                       
302479560       19570921  148002                                       
302479560       19581115   68802                                       
302479560       19600507  146002                                       
302479560       19610225  174002                                       
302479560       19621213  211002                                       
302479560       19640428   79302                                       
302479560       19650724   81902                                       
302479560       19660217   82702                                       
302479560       19670102   49102                                       
302479560       19681031   67002                                       
302479560       19700505   53302                                       
302479560       19711217   66902                                       
302479560       19730914   78902                                       
302479560       19740417  11700               17.85                    
302479560       19750412  12500               18.06                    
302479560       19751003   6280               15.37                    
302479560       19770401   8500               16.53                    
302479560       19780611  12600               18.10                    
302479560       19790305  17100               19.67                    
302479560       19800414  13900               18.56                    
302479560       19810212  12600               18.20                    
302479560       19820205   9600               16.96                    
302479560       19830409  26100               22.39                    
302479560       19840523   7470               16.24                    
302479560       19850925  13100               18.25                    
302479560       19851031  12100               17.84                    
302479560       19870319   6920               15.42                    
302479560       19880305   7000               15.87                    
302479560       19890521   5600               15.09                    
302479560       19900317  1400012                                      
302479560       19910511  22500               19.91                    
302479560       19920219   8080               16.40                    
302479560       19930124  11900               17.47                    
302479560       19940714   4910               14.51                    
302479560       19950213   7990               16.37                    
302479560       19951220  10400               17.11                    
302479560       19970622   4880               14.48                    
302479560       19980930  27800               22.81                    
302479560       19990202   8350               16.43                    
302479560       19991011   3900               13.09                    
302479560       20010306  13800               18.60                    
302479560       20020928   8870               16.65                    
302479560       20030702  11200               17.49                    
302479560       20040430   6590               15.52                    
302479560       20050402   9400               16.86                    
302479560       20060227   2650               10.72                    
302479560       20070101   7480               16.00                    
302479560       20080904   7150               15.83                    
302479560       20090328  27900               22.82                    
302479560       20091217  14300               18.79                    
302479560       20110313   6400               15.40                    
302479560       20120831  20700               20.79                    
302479560       20130503  11200               17.45                    
302479560       20140430  13600               18.30                    
302479560       20150517   6750               15.48                    
302479560       20151225   6880               15.54                    
302479560       20170624  362002              20.99                    
302479560       20180418  12500               17.93                    
302479560       20190128   7260               16.65                    
