Z02481000                       USGS 
H02481000       3033310890719002828047SW0317000996.2   96.2    19.18            
N02481000       BILOXI RIVER AT WORTHAM, MS
Y02481000       
302481000       1948       90007Bm            23.303Bm                   
302481000       19530425   5880               16.843                   
302481000       19531212   2470               10.283                   
302481000       19550413   7460               19.333                   
302481000       19560924   4220               13.863                   
302481000       19570918   7740               21.083                   
302481000       19580121   2920               11.343                   
302481000       19590609   5120               15.473                   
302481000       19600916   5120               16.603                   
302481000       19610317   7520               20.503                   
302481000       19611114   6210               18.263                   
302481000       19630120   1690                8.193                   
302481000       19640427   8420               20.943                   
302481000       19650123   3170               11.913                   
302481000       19660105   3450               12.603                   
302481000       19670101   3190               11.953                   
302481000       19671210   5080               16.023                   
302481000       19690318   3840               13.533                   
302481000       19700304   3330               12.313                   
302481000       19701216   3770               13.393                   
302481000       19720120   5490               16.843                   
302481000       19730913   7420               20.333                   
302481000       19740413   3820               13.153                   
302481000       19750611   3600               12.973                   
302481000       19760528   3390               12.443                   
302481000       19770312   5130               16.123                   
302481000       19780503   5320               18.436                   
302481000       19790913   3980               15.79                    
302481000       19800413   7780               22.94                    
302481000       19810210   6690               19.29                    
302481000       19820425   5780               19.10                    
302481000       19830408  10300               25.30                    
302481000       19831211   6300               18.84                    
302481000       19850923   8500               22.55                    
302481000       19851029   4440               15.34                    
302481000       19870318   6440               20.06                    
302481000       19880402   5820               19.04                    
302481000       19890705   3920               15.16                    
302481000       19900513   6560               20.24                    
302481000       19910518   6990               20.85                    
302481000       19920217   3410               13.89                    
302481000       19930121   7000               22.96                    
302481000       19931030   2430               11.19                    
302481000       19950509  13500               28.94                    
302481000       19951219   4390               16.73                    
302481000       19970725   2270               10.80                    
302481000       19980929   9280               25.43                    
302481000       19990314   3120               13.35                    
302481000       20000414   1100                6.79                    
302481000       20010304   4950               18.24                    
302481000       20020926   8950               24.99                    
302481000       20030701   6860               22.11                    
302481000       20040513   3390               14.11                    
302481000       20050830   9440               25.61                    
302481000       20060426   1580                8.26                    
302481000       20061222   7120               22.54                    
302481000       20080405   4710               17.66                    
302481000       20090328   5800               20.20                    
302481000       20091215   4030               15.94                    
302481000       20110905   2650               12.01                    
302481000       20120830   9640               26.32                    
302481000       20130226   3350               13.99                    
302481000       20140328   3550               14.88                    
302481000       20150517   6610               22.02                    
302481000       20160428   5080               18.84                    
302481000       20170622   6340               22.21                    
302481000       20180415   6340               21.48                    
302481000       20190512  10100               26.70                    
