Z03028000                       USGS 
H03028000       4134310784133004242047SW0501000563.0           1502.02          
N03028000       West Branch Clarion River at Wilcox, PA
Y03028000       
303028000       19540301   10001                                       
303028000       19541016   2510                6.43                    
303028000       19560308   4050                8.59                    
303028000       19570123   1220                4.662                   
303028000       19580715   2040                6.01                    
303028000       19590122   3960                8.35                    
303028000       19600615   1690                5.52                    
303028000       19610225   3160                7.45                    
303028000       19611124   1220                4.82                    
303028000       19630326   2040                6.02                    
303028000       19640305   3010                7.21                    
303028000       19650212    958                4.352                   
303028000       19660213   1450                5.16                    
303028000       19670928   5490               10.01                    
303028000       19680202   1060                4.542                   
303028000       19690405   1980                5.91                    
303028000       19700402   2400                6.45                    
303028000       19701103   1280                4.90                    
303028000       19720622   4900                9.64                    
303028000       19730317   3340                8.08                    
303028000       19740630   2550                7.09                    
303028000       19750224   1900                6.17                    
303028000       19760217   2470                6.99                    
303028000       19770313   3590                8.33                    
303028000       19771214   1940                6.23                    
303028000       19790808   3930                8.67                    
303028000       19791126   1450                5.41                    
303028000       19810429   2140                6.52                    
303028000       19811028   1670                5.74                    
303028000       19830321    948                4.24                    
303028000       19840214   2750                7.34                    
303028000       19850312   2500                7.02                    
303028000       19860720   1680                5.75                    
303028000       19870913   2760                7.35                    
303028000       19880404   1090                4.55                    
303028000       19890620   5450               10.11        1967          
303028000       19900215   1420                5.22                    
303028000       19910429   3880                8.62                    
303028000       19920720   2570                7.11                    
303028000       19930401   1810                6.01                    
303028000       19931128   1880                6.13                    
303028000       19941101   1040                4.45                    
303028000       19960119   5590               10.23                    
303028000       19961019   1620                5.04                    
303028000       19980108   3510                7.65                    
303028000       19990124   2310                6.05                    
303028000       20000816   1640                5.06                    
303028000       20001217    815                3.73                    
303028000       20020614   2810                6.74                    
303028000       20030321   1930                5.51                    
303028000       20040909   2920                6.92                    
303028000       20050114   2440                6.26                    
303028000       20051129   2090                5.77                    
303028000       20070315   4060                8.12                    
303028000       20080206   2270                6.43                    
303028000       20090309   3650                7.81                    
303028000       20100125   4050                8.11                    
303028000       20101201   6220                9.69                    
303028000       20120508   1000                4.11                    
303028000       20130529   2200                6.10                    
303028000       20140521   2970                7.14                    
303028000       20150410   1420                4.88                    
303028000       20151227   1070                4.24                    
303028000       20170112   3780                7.91                    
303028000       20180112   4340                8.36                    
303028000       20190621   2510                6.53                    
