Z03140000                       USGS 
H03140000       4021460815145003939031SW0504000327.2   27.20   781.16           
N03140000       Mill Creek near Coshocton OH
Y03140000       
303140000       19370621   2720               10.66                    
303140000       19380804    945                8.46                    
303140000       19390418    670                7.28                    
303140000       19400420   1220                9.16                    
303140000       19410604   1330                9.35                    
303140000       19420409    579                6.59                    
303140000       19430531   1270                9.33                    
303140000       19440408    620                6.53                    
303140000       19450923   2050                9.87                    
303140000       19451002   3680               11.25                    
303140000       19470607   1180                9.18                    
303140000       19480214   1580                9.82                    
303140000       19490128    753                7.92                    
303140000       19500525   1680                9.87                    
303140000       19501207    930                8.63                    
303140000       19520126   2050               10.21                    
303140000       19530118    736                7.81                    
303140000       19540330    250                3.85                    
303140000       19550304    965                8.73                    
303140000       19560225   3120               10.87                    
303140000       19570628   7650               12.73                    
303140000       19580714    855                8.52                    
303140000       19590121   4440               11.40                    
303140000       19600822   2420               10.47                    
303140000       19610425   3920               11.20                    
303140000       19620126    692                7.632                   
303140000       19630304   4810               11.54                    
303140000       19640310   3240               10.91                    
303140000       19650225    672                7.50                    
303140000       19660428   1040                8.99                    
303140000       19670306    631                7.22                    
303140000       19680130   1320                9.45                    
303140000       19690705   8720               13.92                    
303140000       19700129   1580               10.77                    
303140000       19710506   1980               10.98                    
303140000       19720407    713                8.35                    
303140000       19730418    860                9.02                    
303140000       19740403   2320               11.48                    
303140000       19750223   1380               10.45                    
303140000       19760218    829                9.03                    
303140000       19770402    735                8.60                    
303140000       19771001   5180               12.86                    
303140000       19790914   6590               15.38                    
303140000       19800602   2080               11.62                    
303140000       19810803    989                9.64                    
303140000       19820131    964                9.56                    
303140000       19830415    662                8.14                    
303140000       19840321   1280               10.38                    
303140000       19850223    640                8.00                    
303140000       19851116    732                8.57                    
303140000       19870702    815                9.02                    
303140000       19880202   2150               11.72                    
303140000       19890526   1190               10.21                    
303140000       19900608   1930               11.42                    
303140000       19901230   2210               11.79                    
303140000       19920319    579                7.53                    
303140000       19930621    635                7.96                    
303140000       19940413    961                9.55                    
303140000       19950116   1100                9.99                    
303140000       19960119   1200               10.22                    
303140000       19961201    614                7.80                    
303140000       19980108    372                5.59                    
303140000       19981222    890                9.31                    
303140000       20000404    910                9.38                    
303140000       20001217    7702               8.805                   
303140000       20020415    796                8.92                    
303140000       20030830   2630               12.28                    
303140000       20040614   2310               11.92                    
303140000       20050106   1640               11.00                    
303140000       20060712    887                9.30                    
303140000       20070302   1540               10.84                    
303140000       20080304   1120               10.03                    
303140000       20081226    601                7.68                    
303140000       20100605   1350               10.51                    
303140000       20110228   1940               11.01                    
303140000       20120127   1640               10.46                    
303140000       20130723   2210                9.67                    
303140000       20140624   3540               11.70                    
303140000       20150620   2890               10.76                    
303140000       20160315   1960                9.22                    
303140000       20170505   2950               10.85                    
303140000       20171118   4450               13.01                    
303140000       20190331   3080               11.03                    
