Z03144000                       USGS 
H03144000       4007110820811003939119SW05040004140    140.   735.46            
N03144000       Wakatomika Creek near Frazeysburg OH
Y03144000       
303144000       19370125  10200               11.27                    
303144000       19380407   4070                8.38                    
303144000       19390130   2580                6.72                    
303144000       19400420   6940               10.00                    
303144000       19410719   1480                4.76                    
303144000       19420410   2220                6.03                    
303144000       19430320   7380               10.20                    
303144000       19440307   4900                9.02                    
303144000       19450306   8040               10.46                    
303144000       19460619   2420                6.65                    
303144000       19470608   2560                6.81                    
303144000       19480214   6520                9.76                    
303144000       19490128   2700                7.00                    
303144000       19500106   5890                9.52                    
303144000       19501208   4900                8.97                    
303144000       19520127  10000               11.61                    
303144000       19530118   1160                4.56                    
303144000       19540329   1220                4.83                    
303144000       19550304   4250                8.60                    
303144000       19560709   5090                9.52                    
303144000       19570404   3890                8.29                    
303144000       19580504   3700                8.09                    
303144000       19590122  13700               13.15                    
303144000       19600211   2400                6.35                    
303144000       19610426   5950                9.66                    
303144000       19620224   2160                6.20                    
303144000       19630305  12400               12.60                    
303144000       19640310   8490               11.17                    
303144000       19650212   1450                5.10                    
303144000       19660428   4130                8.54                    
303144000       19670306   2400                6.65                    
303144000       19680528   4670                9.27                    
303144000       19690721   4410                9.05                    
303144000       19700402   6020               10.25                    
303144000       19710506   2960                7.49                    
303144000       19720407   1700                5.59                    
303144000       19721108   1640                5.48                    
303144000       19731128   3650                8.28                    
303144000       19750224   6590               10.21                    
303144000       19760712   3570                8.05                    
303144000       19770404   2900                7.26                    
303144000       19780315   5530                9.55                    
303144000       19790914  16800               14.07                    
303144000       19800811  12600               12.77                    
303144000       19810614   4740                9.21                    
303144000       19820131   33002                                       
303144000       19830410   2680                6.68                    
303144000       19840321   4960                9.34                    
303144000       19850224   3700                8.11                    
303144000       19851117   2910                7.01                    
303144000       19861203   4030                8.54                    
303144000       19880202   4960                9.34                    
303144000       19890622   5320                9.54                    
303144000       19900713   7250               10.15                    
303144000       19901231   8990               11.09                    
303144000       19920828   3380                6.98                    
303144000       19930305   4860                8.46                    
303144000       19940128   57602               9.18                    
303144000       19950116   4950                8.54                    
303144000       19960430   4770                8.38                    
303144000       19970601   2400                5.87                    
303144000       19980627  10500               12.44                    
303144000       19981222   2470                5.96                    
303144000       20000408   3000                6.57                    
303144000       20001217   7340               10.20                    
303144000       20020415   3230                6.82                    
303144000       20030516   2530                6.04                    
303144000       20040105   8140               10.65                    
303144000       20050106   9930               11.53                    
303144000       20060314   4840                8.44                    
303144000       20070302   6110                9.42                    
303144000       20080304   6510                9.69                    
303144000       20090212   26002                                       
303144000       20100125   1950                5.29                    
303144000       20110306   3270                6.86                    
303144000       20120127   4080                7.73                    
303144000       20130709   2030                5.39                    
303144000       20140625   5320                8.85                    
303144000       20150409   5210                9.15                    
303144000       20160225   1930                5.63                    
303144000       20170401   1940                5.64                    
303144000       20180216   6140                9.86                    
303144000       20190331   5260                9.19                    
