Z03159540                       USGS 
H03159540       3903490815255003939105SW05030202156    156.00  576.28           
N03159540       Shade River near Chester OH
Y03159540       
303159540       19660214   6270               24.67                    
303159540       19670307   4940               22.48                    
303159540       19680525   8170               27.38                    
303159540       19690810   2850               17.17                    
303159540       19700403   4500               21.55                    
303159540       19710223   2920               17.10                    
303159540       19720414   3590               19.27                    
303159540       19721209   3640               19.39                    
303159540       19740111   4880               22.34                    
303159540       19750425   4550               21.66                    
303159540       19751018   3410               18.81                    
303159540       19770313   2180               14.85                    
303159540       19780315   3630               19.31                    
303159540       19781208   44002                                       
303159540       19800305   2750               16.842                   
303159540       19810607   3320               19.63                    
303159540       19820604   2780               18.17                    
303159540       19830504   2800               17.64                    
303159540       19840529   2820               17.70                    
303159540       19850331   2890               17.88                    
303159540       19851118   2970               18.12                    
303159540       19861203   2730               17.44                    
303159540       19880305   2060               15.64                    
303159540       19890216   5010               22.62                    
303159540       19900823   3300               18.98                    
303159540       19901219   4100               20.82                    
303159540       19911210   3660               19.91                    
303159540       19930305   3000               18.40                    
303159540       19940129   5660               24.28                    
303159540       19950515   4430               21.91                    
303159540       19960505   3850               20.57                    
303159540       19970302  15600               31.44                    
303159540       19980628   3850               20.56                    
303159540       19990826    954               11.01                    
303159540       20000104   1920               15.10                    
303159540       20010522   4400               20.77                    
303159540       20020321   5390               22.81                    
303159540       20030223   3770               19.36                    
303159540       20040918  11100               30.04                    
303159540       20050329   3050               17.46                    
303159540       20060123   2980               17.25                    
303159540       20070221   3040               17.42                    
303159540       20080605   4200               20.37                    
303159540       20081225   2350               15.20                    
303159540       20100503   6180               24.31                    
303159540       20110420   3650               19.12                    
303159540       20120301   3160               17.90                    
303159540       20130131   3160               17.77                    
303159540       20140430   3500               18.71                    
303159540       20150311   3720               19.28                    
303159540       20160623   3790               19.64                    
303159540       20170301   4070               20.07                    
303159540       20180404   5550               23.14                    
303159540       20190207   5300               22.65                    
