Z03173000                       USGS 
H03173000       3716050804235005151071SW05050002299            1665.92          
N03173000       WALKER CREEK AT BANE, VA
Y03173000       
303173000       187809    4000027Bd           23.50Bd                   
303173000       19380722   9350               12.40                    
303173000       19390130   4450                9.65                    
303173000       19400420   9760               12.64                    
303173000       19410705   3700                9.16                    
303173000       19420522   7430               11.63                    
303173000       19421230   6580               11.13                    
303173000       19440218  12800               14.00                    
303173000       19450918   5890               10.90                    
303173000       19460108   9760               12.60                    
303173000       19470120   5010               10.23                    
303173000       19480214   8700               12.50                    
303173000       19490617  13700               14.44                    
303173000       19500503   6350               10.77                    
303173000       19501208   9150               12.33                    
303173000       19520428   3490                8.84                    
303173000       19530221   8150               11.82                    
303173000       19540301   5670               10.40                    
303173000       19550414  10200               12.85                    
303173000       19560416   5840               10.47                    
303173000       19570130  16500               16.50                    
303173000       19580331   6510               10.89                    
303173000       19590413   6530               10.87                    
303173000       19600330   5020               10.03                    
303173000       19610512   4190                9.44                    
303173000       19611218   5680               10.40                    
303173000       19630312   9080               12.36                    
303173000       19640305   5180               10.07                    
303173000       19650208   6190               10.74                    
303173000       19660213   8570               12.11                    
303173000       19670307   5600               10.35                    
303173000       19680313   3850                9.13                    
303173000       19690203   2120                7.39                    
303173000       19691231   6580               10.93                    
303173000       19710214   5650               10.38                    
303173000       19720621  11300               13.69                    
303173000       19730202   7700               11.59                    
303173000       19740404  10100               13.01                    
303173000       19750314   9950               12.91                    
303173000       19760101   7430               11.43                    
303173000       19770405  16900               16.69                    
303173000       19780126   9930               12.90                    
303173000       19790225   7350               11.38                    
303173000       19800414   5440               10.20                    
303173000       19810528   4150                9.24                    
303173000       19820613   6770               11.05                    
303173000       19830410   4710                9.66                    
303173000       19840507   7260               11.38                    
303173000       19850202   3490                8.71                    
303173000       19860521   4580                9.56                    
303173000       19870425   9470               12.76                    
303173000       19880120   2130                7.42                    
303173000       19890923   7410               11.48                    
303173000       19891001   6560               10.92                    
303173000       19910112   5260               10.07                    
303173000       19920605  25000               19.28                    
303173000       19930324  19000               17.43                    
303173000       19940328   6930               11.16                    
303173000       19950116   5750               10.41                    
303173000       19960119  15100               15.80                    
303173000       19961201   7710               11.68                    
303173000       19980420   7570               11.59                    
303173000       19990514   2820                8.15                    
303173000       20000312   2590                7.94                    
303173000       20010517   8240               12.02                    
303173000       20020318   5570               10.29                    
303173000       20030222  14400               15.43                    
303173000       20031119  14900               15.46                    
303173000       20050328   4220                9.35                    
303173000       20060628   2490                7.72                    
303173000       20070302   6340               10.93                    
303173000       20080406   6550               11.07                    
303173000       20090605   2860                8.33                    
303173000       20100313  21000               17.92                    
303173000       20110306  11100               13.76                    
303173000       20111208   6940               11.23                    
303173000       20130131   8950               12.45                    
303173000       20131229   3330                8.47                    
303173000       20150420  14900               15.40                    
303173000       20151119   5810               10.47                    
303173000       20170424  10100               12.40                    
303173000       20180416   7910               11.07                    
303173000       20181012  12000               13.46                    
