Z03182500                       USGS 
H03182500       3811100800748005454075SW05050003540    540     2085.70          
N03182500       GREENBRIER RIVER AT BUCKEYE, WV
Y03182500       
303182500       19291118  17200               11.70                    
303182500       19310404   9540                9.00                    
303182500       19320205  41500               17.50                    
303182500       19330319   8920                8.80                    
303182500       19340305  13300               10.43                    
303182500       19350123  17600               11.80                    
303182500       19360317  32800               15.70                    
303182500       19370120  18300               12.00                    
303182500       19371028  16300               11.40                    
303182500       19390204  26800               14.30                    
303182500       19400420  12200               10.03                    
303182500       19410405   5630                7.24                    
303182500       19420516  24400               13.70                    
303182500       19421230  18000               11.86                    
303182500       19440223  16300               11.41                    
303182500       19441226  11400                9.70                    
303182500       19460107  19700               12.45                    
303182500       19470314  12200               10.02                    
303182500       19480414  26400               14.19                    
303182500       19481215  14500               10.80                    
303182500       19500131  14700               11.20                    
303182500       19501208  19000               12.54                    
303182500       19520311  17500               12.01                    
303182500       19530221  27200               14.57                    
303182500       19540715  20700               13.06                    
303182500       19541016  27300               15.07                    
303182500       19560314   9900                9.36                    
303182500       19570123  15100               11.30                    
303182500       19580505  15400               11.37                    
303182500       19590602  14800               11.20                    
303182500       19600404  19800               12.85                    
303182500       19610225  18200               12.32                    
303182500       19620321  15100               11.33                    
303182500       19630320  18800               12.50                    
303182500       19640305  24800               14.33                    
303182500       19650207  14500               11.10                    
303182500       19660213  15300               11.37                    
303182500       19670307  38700               17.40                    
303182500       19680313  13400               10.73                    
303182500       19690820  15000               11.26                    
303182500       19691231  23200               13.81                    
303182500       19701222  15600               11.47                    
303182500       19720226  21900               13.43                    
303182500       19721209  14700               11.17                    
303182500       19731226  32400               16.01                    
303182500       19750319  11200                9.91                    
303182500       19751018  17700               12.16                    
303182500       19761009  34800               16.54                    
303182500       19780326  28600               15.15                    
303182500       19790224  16100               11.62                    
303182500       19800521  13100               10.60                    
303182500       19810528  12800               10.49                    
303182500       19820320  30100               15.49                    
303182500       19821129  13700               10.81                    
303182500       19840214  26700               14.69                    
303182500       19850503  11400               10.06                    
303182500       19851105  82000               23.20        1896          
303182500       19870415  14900               11.23                    
303182500       19880120  14100               10.96                    
303182500       19890426  31400               15.79                    
303182500       19891231  14100               10.96                    
303182500       19910323  22600               13.60                    
303182500       19911203  18600               12.43                    
303182500       19930324  20900               13.11                    
303182500       19940209  27400               14.88                    
303182500       19950115  24500               14.14                    
303182500       19960119  61500               20.93                    
303182500       19961108  22900               13.71                    
303182500       19980108  21900               13.41                    
303182500       19990124  11800               10.18                    
303182500       20000219  22300               13.54                    
303182500       20010523  16300               11.73                    
303182500       20020428  23800               13.98                    
303182500       20030222  18500               12.43                    
303182500       20031119  31800               15.91                    
303182500       20050328  14100               10.99                    
303182500       20060627  15400               11.44                    
303182500       20070302  32200               16.00                    
303182500       20080305  26200               14.59                    
303182500       20081212  13300               10.73                    
303182500       20100125  35600               16.75                    
303182500       20110413  22700               13.67                    
303182500       20120301  18400               12.40                    
303182500       20130131  25300               14.37                    
303182500       20140516  21400               13.29                    
303182500       20150311  17300               13.03                    
303182500       20160623  25500               14.41                    
303182500       20190224  12600                9.47                    
