Z03364500                       USGS 
H03364500       3916290854206001818005SW0512020691.4           676.88           
N03364500       CLIFTY CREEK AT HARTSVILLE, IN
Y03364500       
303364500       19130325                      25.10                    
303364500       19480327   3710                8.482                   
303364500       19490105   9510               13.40                    
303364500       19500104   6520               11.80                    
303364500       19501120   3910                8.90                    
303364500       19520126   6250               11.50                    
303364500       19530304   1370                5.57                    
303364500       19540527    635                4.17                    
303364500       19550708   1760                6.24                    
303364500       19560622   5890               11.10                    
303364500       19570704   4270                9.28                    
303364500       19580506   2700                7.64                    
303364500       19590121  11300               14.29                    
303364500       19600623   3630                8.79                    
303364500       19610508   6120               11.27                    
303364500       19620122   3090                8.09                    
303364500       19630305   7760               12.42                    
303364500       19640310   6820               11.78                    
303364500       19650209   3160                8.25                    
303364500       19660210   1460                5.35                    
303364500       19661210   2190                6.64                    
303364500       19680524   6840               11.79                    
303364500       19690130   3070                8.08                    
303364500       19700402   4960               10.29                    
303364500       19710222   2510                7.19                    
303364500       19720416   3040                8.03                    
303364500       19730721   2370                6.94                    
303364500       19740518   3260                8.29                    
303364500       19750223   5480               10.76                    
303364500       19760218   1910                6.15                    
303364500       19770402   1940                6.21                    
303364500       19780314   4420                9.33                    
303364500       19790223   4790               10.072                   
303364500       19800321   2130                6.54                    
303364500       19810609   1730                5.84                    
303364500       19820131   4340                9.50                    
303364500       19830501   4140                9.28                    
303364500       19840405   2360                6.47                    
303364500       19850223   3230                7.74                    
303364500       19851126   2640                6.89                    
303364500       19870803   4430                9.36                    
303364500       19880202   3040                7.46                    
303364500       19890330   3180                7.66                    
303364500       19900516   2850                7.19                    
303364500       19901230   6330               11.25                    
303364500       19920717   2360                6.69                    
303364500       19930817   2810                7.25                    
303364500       19940410   3630                8.29                    
303364500       19950808   3670                8.34                    
303364500       19960429   7740               11.90                    
303364500       19970601   3750                8.31                    
303364500       19980612   4760                9.35                    
303364500       19990207   2090                6.23                    
303364500       20000408   3120                7.59                    
303364500       20001005   3160                7.64                    
303364500       20011217   5000                9.58                    
303364500       20030615   3470                8.00                    
303364500       20040104   8330               12.32                    
303364500       20050106   4850                9.43                    
303364500       20060511   2890                7.31                    
303364500       20070115   3740                8.30                    
303364500       20080607  16200               17.85                    
303364500       20090805   7030               11.30                    
303364500       20100613   3190                7.62                    
303364500       20110420   4350                8.59                    
303364500       20120502   4160                8.39                    
303364500       20130113   2860                6.87                    
303364500       20131222   5410                9.66                    
303364500       20150717   3890                8.10                    
303364500       20160314   2970                7.01                    
303364500       20170615   3780                7.97                    
303364500       20180403   7910               11.84                    
303364500       20190208   7720               11.68                    
