Z03439000                       USGS 
H03439000       3508360824929003737175SW0601010567.9           2173.83          
N03439000       FRENCH BROAD RIVER AT ROSMAN, NC
Y03439000       
303439000       19080215   6000                                        
303439000       19090604   4350                                        
303439000       191607                        13.90Bd                   
303439000       192808                        12.50Bd                   
303439000       19360406   3740                9.406                   
303439000       19361009   2560                7.50                    
303439000       19371019   4420               10.15                    
303439000       19390818   4870               10.55                    
303439000       19400830   6800               11.86                    
303439000       19410707   1970                6.40                    
303439000       19420520   4670               10.38                    
303439000       19421229   4130                9.86                    
303439000       19440329   1340                5.22                    
303439000       19450417   2360                7.26                    
303439000       19460210   2460                7.45                    
303439000       19470120   2730                7.80                    
303439000       19480803   3620                9.08                    
303439000       19490616   4080                9.49                    
303439000       19500901   5700               11.17                    
303439000       19501207   4500               10.23                    
303439000       19520311   5660               11.15                    
303439000       19530221   4380               10.11                    
303439000       19540122   3060                8.40                    
303439000       19550522   2530                7.47                    
303439000       19560415   2700                7.78                    
303439000       19570404   5180               10.80                    
303439000       19571220   3380                8.90                    
303439000       19590121   3530                9.12                    
303439000       19591009   2880                8.10                    
303439000       19610225   3760                9.43                    
303439000       19611212   3540                9.13                    
303439000       19630306   2320                7.12                    
303439000       19640929   9600               13.31                    
303439000       19641004  13500               14.95                    
303439000       19660213   7970               12.50                    
303439000       19670604   4870               10.55                    
303439000       19680312   4080                9.80                    
303439000       19690615   3830                9.51                    
303439000       19691101   2340                7.16                    
303439000       19701011   4940               10.61                    
303439000       19720503   4280               10.01                    
303439000       19730528   9140               13.09                    
303439000       19731226   4520               10.25                    
303439000       19750923   4540               10.26                    
303439000       19751017   7390               12.19                    
303439000       19770313   7410               12.20                    
303439000       19780125   4930               10.57                    
303439000       19790304   8630               12.84                    
303439000       19791102   6340               11.58                    
303439000       19810527   3930                9.62                    
303439000       19820203   2290                7.06                    
303439000       19830202   4910               10.55                    
303439000       19831211   2570                7.59                    
303439000       19850817   2830                8.03                    
303439000       19851101   2140                6.79                    
303439000       19861126   6020               11.38                    
303439000       19871117   2200                6.90                    
303439000       19890703   3730                9.39                    
303439000       19900216   4460               10.16                    
303439000       19910329   6190               11.49                    
303439000       19911122   4220                8.85                    
303439000       19921122   5400               10.09                    
303439000       19940817  11500               14.12                    
303439000       19950114   5220                9.92                    
303439000       19951005   5410               10.10                    
303439000       19961108   5580               10.25                    
303439000       19980107   7930               12.12                    
303439000       19990401   2360                6.53                    
303439000       19991126   4100                8.71                    
303439000       20001109   1900                5.88                    
303439000       20020927   2880                7.21                    
303439000       20030922   5420               10.11                    
303439000       20040917   89109              12.76                    
303439000       20050612   3420                7.90                    
303439000       20051129   3980                8.58                    
303439000       20070101   3830                8.37                    
303439000       20080304   4380                8.98                    
303439000       20090921   8880               12.74                    
303439000       20100124   4050                8.06                    
303439000       20101130   5630               10.30                    
303439000       20111128   5330               10.03                    
303439000       20130130   5670               10.33                    
303439000       20131126   2540                6.67                    
303439000       20150419   3750                8.24                    
303439000       20151229   7550               11.85                    
303439000       20170501   1980                5.85                    
303439000       20171023   6630               11.15                    
303439000       20190419   7080               11.49                    
