Z03471500                       USGS 
H03471500       3645370813753005151173SW0601010276.6           2106.71          
N03471500       S F HOLSTON RIVER AT RIVERSIDE, NEAR CHILHOWIE, VA
Y03471500       
303471500       19080112   4400                                        
303471500       19090210   2100                                        
303471500       19210210   1420                4.403                   
303471500       19220121   1880                5.003                   
303471500       19230612   6000                9.003                   
303471500       19240930   1880                5.003                   
303471500       19241209    960                3.703                   
303471500       19260214   1450                4.503                   
303471500       19270223   2430                5.703                   
303471500       19280902   1100                4.003                   
303471500       19290305   1820                5.003                   
303471500       19291002   1520                4.603                   
303471500       19310404   1820                5.003                   
303471500       19420809   1200                4.58                    
303471500       19421230   1870                5.80                    
303471500       19440218   2380                6.62                    
303471500       19450518   2380                6.58                    
303471500       19460108   1870                5.84                    
303471500       19470804   2660                6.99                    
303471500       19480214   1930                5.87                    
303471500       19490413   1410                5.04                    
303471500       19500202   1270                4.97                    
303471500       19501207   3270                7.84                    
303471500       19520128    541                3.25                    
303471500       19530221   1450                5.25                    
303471500       19540122   2280                6.53                    
303471500       19550318   2580                6.88                    
303471500       19560416   2070                6.20                    
303471500       19570129   3800                8.32                    
303471500       19580801   3670                8.18                    
303471500       19590122   1420                5.10                    
303471500       19600330   2100                6.20                    
303471500       19610512   2450                6.71                    
303471500       19611218   3780                8.27                    
303471500       19630312   2520                6.82                    
303471500       19640305   2830                7.16                    
303471500       19650326   3070                7.46                    
303471500       19660213   2310                6.50                    
303471500       19661102   1420                5.10                    
303471500       19680313   1320                4.93                    
303471500       19690202    960                4.22                    
303471500       19700428   1720                5.60                    
303471500       19710507   1450                5.15                    
303471500       19720621   2140                6.26                    
303471500       19730317   1750                5.65                    
303471500       19740628   3100                7.54                    
303471500       19750314   1820                5.76                    
303471500       19760101   1410                5.08                    
303471500       19770405   5240                8.89                    
303471500       19771106   9600               10.20        1920          
303471500       19790121   2040                5.57                    
303471500       19800321   1360                4.67                    
303471500       19810527   1250                4.49                    
303471500       19820104   2040                5.56                    
303471500       19830202   1730                5.17                    
303471500       19840507   2900                6.49                    
303471500       19850727    842                3.77                    
303471500       19860315   1020                4.09                    
303471500       19870416   2760                6.35                    
303471500       19880204   1190                4.38                    
303471500       19890922   4980                8.19                    
303471500       19900101   1740                5.19                    
303471500       19910329   1590                5.15                    
303471500       19920605   2080                5.74                    
303471500       19930324   3450                7.06                    
303471500       19940328   2530                6.22                    
303471500       19950115   5820                8.68                    
303471500       19960119   3940                7.45                    
303471500       19970303   1120                4.76                    
303471500       19980217   2190                6.09                    
303471500       19990514    540                3.65                    
303471500       20000729    565                3.71                    
303471500       20010729   3120                6.88                    
303471500       20020318   2760                6.60                    
303471500       20030222   3320                7.03                    
303471500       20031119   4950                8.08                    
303471500       20050609   1440                5.24                    
303471500       20060626   10302               4.625                   
303471500       20070302   1040                4.64                    
303471500       20080305   1610                5.47                    
303471500       20090507    953                4.49                    
303471500       20100313   1940                5.85                    
303471500       20110301   1930                5.84                    
303471500       20111207   1330                5.13                    
303471500       20130116   2890                6.65                    
303471500       20131127    632                3.77                    
303471500       20150420   2550                6.39                    
303471500       20151224   1730                5.66                    
303471500       20170424   2540                6.43                    
303471500       20180917   1920                5.86                    
303471500       20190223   2740                6.60                    
