Z03473000                       USGS 
H03473000       3639060815039005151191SW06010102303            1792.30          
N03473000       S F HOLSTON RIVER NEAR DAMASCUS, VA
Y03473000       
303473000       186703    265007Bd            20.00Bd                   
303473000       19320203   6760               10.58                    
303473000       19330510   5470                9.63                    
303473000       19340305   3040                7.65                    
303473000       19350326  10700               13.26                    
303473000       19360324   6370               10.30                    
303473000       19370210   3210                7.61                    
303473000       19380721   6760               10.60                    
303473000       19390306   5470                9.48                    
303473000       19400814  10600               13.25                    
303473000       19410716   3210                7.55                    
303473000       19420809   6500               10.37                    
303473000       19421230   7600               11.15                    
303473000       19440218   8160               11.58                    
303473000       19450217   5470                9.58                    
303473000       19460108   7460               11.10                    
303473000       19470120   8900               12.10                    
303473000       19480214   5980               10.00                    
303473000       19481204   5110                9.28                    
303473000       19500202   6240               10.18                    
303473000       19501207   6110               10.08                    
303473000       19511221   4060                8.40                    
303473000       19530221   5470                9.62                    
303473000       19540122   9350               12.40                    
303473000       19550318  11400               13.73                    
303473000       19560416   9500               12.50                    
303473000       19570129  15100               15.35                    
303473000       19580802   5990                9.85                    
303473000       19590122   5360                9.37                    
303473000       19600330   6480               10.20                    
303473000       19610615   8080               11.30                    
303473000       19611218   6760               10.40                    
303473000       19630312  11000               13.12                    
303473000       19640305   7760               11.12                    
303473000       19650326  11000               13.14                    
303473000       19660413   7760               11.09                    
303473000       19661019   3750                8.09                    
303473000       19680313   5230                9.31                    
303473000       19690202   4670                8.89                    
303473000       19700428   8460               11.54                    
303473000       19710507   5220                9.30                    
303473000       19720226   5990                9.85                    
303473000       19730317   7520               10.94                    
303473000       19740404   8720               11.68                    
303473000       19750330   9840               12.40                    
303473000       19760101   5140                9.11                    
303473000       19770405  22000               17.11                    
303473000       19771002  17900               15.82                    
303473000       19790121   6080                9.83                    
303473000       19800321   5550                9.42                    
303473000       19810521   5040                9.03                    
303473000       19820203   5990                9.77                    
303473000       19821216   3860                8.01                    
303473000       19840507  17700               15.67                    
303473000       19850202   3970                8.13                    
303473000       19860315   3480                7.67                    
303473000       19870416   8840               11.67                    
303473000       19880204   5910                9.72                    
303473000       19890922   7380               10.75                    
303473000       19900317   5810                9.64                    
303473000       19910329   6090                9.85                    
303473000       19920226   3360                7.56                    
303473000       19930324   7280               10.69                    
303473000       19940211  12500               13.63                    
303473000       19950115  10800               12.63                    
303473000       19960119   9830               12.02                    
303473000       19970303   5520                8.94                    
303473000       19980417   6780                9.91                    
303473000       19990508   3190                6.89                    
303473000       20000214   2490                6.20                    
303473000       20010729   9020               11.47                    
303473000       20020318   9410               11.74                    
303473000       20030222   8900               11.39                    
303473000       20031119  14700               14.55                    
303473000       20050329   2700                6.56                    
303473000       20060427   4310                8.03                    
303473000       20070302   2550                6.41                    
303473000       20080305   5300                8.81                    
303473000       20090107   6090                9.38                    
303473000       20091209   6670                9.78                    
303473000       20110228   8400               10.89                    
303473000       20111207   5150                8.58                    
303473000       20130116  10800               12.17                    
303473000       20131223   3510                7.23                    
303473000       20150420   5130                8.42                    
303473000       20151224   9140               11.11                    
303473000       20170424   8760               10.88                    
303473000       20180416   6200                9.21                    
303473000       20190223  11100               12.25                    
