Z03479000                       USGS 
H03479000       3614210814920003737189SW0601010392.1           2607.84          
N03479000       WATAUGA RIVER NEAR SUGAR GROVE, NC
Y03479000       
303479000       191607    280007Bd            22.10Bd                   
303479000       19400813  50800               29.60                    
303479000       19410707   3020                7.28                    
303479000       19420906   6900               11.00                    
303479000       19421229   5420                9.72                    
303479000       19440218   2320                6.43                    
303479000       19450917   7020               11.10                    
303479000       19460107   3590                7.96                    
303479000       19470120   1840                5.95                    
303479000       19471103   3910                8.32                    
303479000       19490828   7070               11.14                    
303479000       19500909   3290                7.70                    
303479000       19501207  15500               16.40                    
303479000       19520311   4060                8.47                    
303479000       19530221   3490                7.90                    
303479000       19540221   4740                9.11                    
303479000       19550414   7820               11.72                    
303479000       19560416   3880                8.29                    
303479000       19570404   9490               12.90                    
303479000       19571220   7270               11.30                    
303479000       19590930   6420               10.60                    
303479000       19600330   4340                8.75                    
303479000       19610824   7060               11.13                    
303479000       19611212   3140                7.55                    
303479000       19630312   9380               12.83                    
303479000       19640305   4540                8.93                    
303479000       19641016   9250               12.88                    
303479000       19660213  17000               17.14                    
303479000       19661210   4500                9.20                    
303479000       19680312   2980                7.59                    
303479000       19681019   2780                7.34                    
303479000       19700809   5030                9.70                    
303479000       19701030   1940                6.21                    
303479000       19720620   4920                9.71                    
303479000       19730528  15200               16.26                    
303479000       19740404   6000               10.56                    
303479000       19750924   8430               12.34                    
303479000       19751017   7930               12.00                    
303479000       19770313  10600               13.70                    
303479000       19771106  16200               16.77                    
303479000       19790921  11900               14.49                    
303479000       19800414   7500               11.70                    
303479000       19810527   3350                7.90                    
303479000       19820203   2900                7.38                    
303479000       19830202  14600               15.92                    
303479000       19840213   6130               10.65                    
303479000       19841128   3350                7.90                    
303479000       19851102   2370                6.70                    
303479000       19870415   6290               10.78                    
303479000       19871117   2840                7.31                    
303479000       19890922  13800               15.52                    
303479000       19900317   4740                9.38                    
303479000       19901012   6770               11.16                    
303479000       19920604   8330               12.28                    
303479000       19921122   7910               11.99                    
303479000       19940817  15000               17.64                    
303479000       19950114  20500               20.46                    
303479000       19951005  13700               16.86                    
303479000       19961108   4200                9.12                    
303479000       19980108  12900               16.60                    
303479000       19990124   1700                5.70                    
303479000       19991126   3480                8.27                    
303479000       20010329   1790                5.86                    
303479000       20020927   2910                7.51                    
303479000       20030222   3630                8.45                    
303479000       20040917  230009              21.90                    
303479000       20050114   4000                8.89                    
303479000       20051129   6620               11.63                    
303479000       20070101   2600                7.10                    
303479000       20080304   7950               12.84                    
303479000       20090107   1790                5.85                    
303479000       20100322   4910                9.59                    
303479000       20110416   6820               11.51                    
303479000       20111128   6130               10.84                    
303479000       20130130   9460               13.86                    
303479000       20131223   1930                5.84                    
303479000       20150419   6670               11.37                    
303479000       20151119   5470               10.18                    
303479000       20170331   2980                7.32                    
303479000       20180519  12400               16.15                    
303479000       20190609  11400               15.39                    
