Z03488000                       USGS 
H03488000       3653480814447005151173SW06010101221            1703.53          
N03488000       N F HOLSTON RIVER NEAR SALTVILLE, VA
Y03488000       
303488000       186202    220007Bd            15.00Bd                   
303488000       19070614   8400               13.003                   
303488000       19080402   7400               12.103                   
303488000       19201215   4480                9.273                   
303488000       19220315   4160                8.903                   
303488000       19230203   8220               13.973                   
303488000       19240930   5840               11.003                   
303488000       19250111   4310                9.003                   
303488000       19260118   4490                9.203                   
303488000       19261221   6700               12.003                   
303488000       19271216   2640                7.003                   
303488000       19290227   3520                8.103                   
303488000       19291118   3360                7.903                   
303488000       19310404   5440               10.103                   
303488000       19320130   4750                9.403                   
303488000       19321228   5240                9.90                    
303488000       19340303   4120                8.70                    
303488000       19350123   7990                7.49                    
303488000       19360406   6290                6.50                    
303488000       19370120   4650                5.46                    
303488000       19371028   5660                6.08                    
303488000       19390203   2530                4.12                    
303488000       19400814   5840                6.23                    
303488000       19410706   4790                5.58                    
303488000       19420620   6740                6.73                    
303488000       19421230   6380                6.46                    
303488000       19440218  13100               10.15                    
303488000       19450217   5840                6.83                    
303488000       19460108   8370                8.26                    
303488000       19470120   7690                7.91                    
303488000       19480214   7860                8.00                    
303488000       19481204   5840                6.76                    
303488000       19500202   6330                7.13                    
303488000       19501208   4920                6.24                    
303488000       19520123   3210                4.91                    
303488000       19530519   5680                6.68                    
303488000       19540122   6500                7.19                    
303488000       19550316  10300                9.42                    
303488000       19560416   9560                9.05                    
303488000       19570129  16500               13.20                    
303488000       19580331   5000                6.28                    
303488000       19590413   4640                6.04                    
303488000       19600331   4250                5.74                    
303488000       19610225  12500               11.15                    
303488000       19611218   8650                8.88                    
303488000       19630312  14500               12.15                    
303488000       19640305   3340                4.96                    
303488000       19650326   6880                7.70                    
303488000       19660214   4500                6.00                    
303488000       19670307   6260                7.26                    
303488000       19680527   3910                5.58                    
303488000       19690202   3090                4.95                    
303488000       19691231  11000               10.37                    
303488000       19710507   6460                7.40                    
303488000       19720930   7550                8.25                    
303488000       19721210  13200               11.98                    
303488000       19731226   5130                6.52                    
303488000       19750314  11100               10.68                    
303488000       19760101   6580                7.56                    
303488000       19770405  14900               12.98                    
303488000       19771106  15900               13.57                    
303488000       19790121  10100               10.04                    
303488000       19800321   4820                6.44                    
303488000       19810528   5540                7.66                    
303488000       19820203   6470                8.34                    
303488000       19821129   3070                5.44                    
303488000       19840507  10100               10.51                    
303488000       19850201   5150                7.25                    
303488000       19860514   3590                5.93                    
303488000       19870417   5790                7.74                    
303488000       19880120   2280                4.61                    
303488000       19890923   4830                7.00                    
303488000       19900101   8860                9.80                    
303488000       19910330   4300                6.56                    
303488000       19920226   4690                6.88                    
303488000       19930324   8770                9.74                    
303488000       19940328   8910                9.83                    
303488000       19950115   8330                9.47                    
303488000       19960119   8820                9.77                    
303488000       19970303   7050                8.63                    
303488000       19980417   6570                8.30                    
303488000       19990115   2370                4.71                    
303488000       20000214   2200                4.52                    
303488000       20010729  12400               11.80                    
303488000       20020318  16000               14.83                    
303488000       20030222   9970               11.11                    
303488000       20031119  17100               15.46                    
303488000       20041210   2070                4.25                    
303488000       20060118   2850                5.17                    
303488000       20070302   2520                4.79                    
303488000       20080305   6910                8.88                    
303488000       20090107   3570                5.87                    
303488000       20091209   6720                8.69                    
303488000       20110301   5280                7.48                    
303488000       20120426   7540                9.33                    
303488000       20130131   8530               10.07                    
303488000       20131229   3450                5.75                    
303488000       20150304   5670                7.82                    
303488000       20151202   4410                6.69                    
303488000       20170424   8060                9.52                    
303488000       20180211   5810                7.71                    
303488000       20190223   6740                8.48                    
