Z03500000                       USGS 
H03500000       3509000832247003737113SW06010202140            2008.39          
N03500000       LITTLE TENNESSEE RIVER NEAR PRENTISS, NC
Y03500000       
303500000       189810                        15.00Bd                   
303500000       19450917   1300                4.33                    
303500000       19460210   3880                9.33                    
303500000       19470120   3250                9.20                    
303500000       19480214   2270                6.30                    
303500000       19490616   5900               12.85                    
303500000       19500314   3180                8.03                    
303500000       19501207   2000                5.605                   
303500000       19520311   5190               10.54                    
303500000       19530221   4060                9.64                    
303500000       19540122   3430                9.28                    
303500000       19550523   3150                8.15                    
303500000       19560416   3410                9.09                    
303500000       19570405   3750                9.76                    
303500000       19571119   2310                6.45                    
303500000       19590122   2520                7.51                    
303500000       19600211   1900                5.36                    
303500000       19610225   3310                9.47                    
303500000       19611212   4190               10.17                    
303500000       19630313   3710                9.04                    
303500000       19640929   3980                9.61                    
303500000       19641004  12200               17.30                    
303500000       19660213   6540               12.91                    
303500000       19670604   5890               11.80                    
303500000       19680312   3270                8.461                   
303500000       19690203   2340                6.77                    
303500000       19691231   1880                5.47                    
303500000       19710222   1510                4.42                    
303500000       19711207   2570                7.02                    
303500000       19730528   6700               12.45                    
303500000       19740404   4310               10.11                    
303500000       19750314   2880                7.802                   
303500000       19760529   9100               14.49                    
303500000       19770313   4290               10.12                    
303500000       19771106   3320                8.40                    
303500000       19790304   9110               14.54                    
303500000       19791126   3840                9.32                    
303500000       19810527   1900                5.20                    
303500000       19820203   3000                7.60                    
303500000       19830202   6440               12.16                    
303500000       19840214   2870                7.32                    
303500000       19850201   1570                4.55                    
303500000       19851101   1410                4.25                    
303500000       19870301   2540                6.93                    
303500000       19880120   2260                6.03                    
303500000       19890620   2320                6.09                    
303500000       19900216   9320               14.44                    
303500000       19910330   3470                8.46                    
303500000       19920828   2170                5.74                    
303500000       19921123   2330                6.07                    
303500000       19940817   4530               10.03                    
303500000       19950217   4120                9.47                    
303500000       19960127   5420               11.02                    
303500000       19961202   2910                7.43                    
303500000       19980108   6190               11.73                    
303500000       19990401   1950                5.30                    
303500000       20000404   1920                5.24                    
303500000       20010119   1690                4.79                    
303500000       20020927   2140                5.79                    
303500000       20030507   2610                6.77                    
303500000       20040917  11200               15.92                    
303500000       20050613   2650                6.85                    
303500000       20060118   1930                5.38                    
303500000       20070101   2070                5.65                    
303500000       20080305   2480                6.49                    
303500000       20090921   7180               11.16                    
303500000       20091111   3320                6.94                    
303500000       20110306   2730                6.16                    
303500000       20111129   3290                6.91                    
303500000       20130131   4410                8.29                    
303500000       20131223   3460                7.14                    
303500000       20141014   2820                6.29                    
303500000       20151224   8080               12.18                    
303500000       20170424   1620                4.53                    
303500000       20180531   4760                8.72                    
303500000       20181228   5530                9.58                    
