Z03500240                       USGS 
H03500240       3509320832339003737113SW0601020257.1           2017.18          
N03500240       CARTOOGECHAYE CREEK NEAR FRANKLIN, NC
Y03500240       
303500240       194906     700027Bd           15.60Bd                   
303500240       19611212   2560               10.40                    
303500240       19630306   1940                9.45                    
303500240       19640407   1850                9.23                    
303500240       19641004   4720               12.96                    
303500240       19660213   2980               10.99                    
303500240       19670604   2970               10.98                    
303500240       19680312   1370                7.55                    
303500240       19690202   1850                9.24                    
303500240       19700605   1480                8.00                    
303500240       19710123   1290                7.20                    
303500240       19711207   1470                7.95                    
303500240       19730528   4550               12.78                    
303500240       19731231   2110                9.79                    
303500240       19750330   2310               10.10                    
303500240       19760515   3270               11.35                    
303500240       19770405   1870                9.29                    
303500240       19771106   1660                8.68                    
303500240       19790304   2800               10.77                    
303500240       19800321   2170                9.88                    
303500240       19810527   1070                6.28                    
303500240       19820203   1720                8.88                    
303500240       19830202   3250               11.33                    
303500240       19840508   1380                7.57                    
303500240       19850201   1030                6.12                    
303500240       19860313    816                5.23                    
303500240       19870301   1580                8.40                    
303500240       19880120   1400                7.64                    
303500240       19890930   1580                8.40                    
303500240       19900216   3410               11.51                    
303500240       19901224   1760                9.00                    
303500240       19911122   1050                6.23                    
303500240       19921220   1270                7.14                    
303500240       19940328   3240               11.31                    
303500240       19950216   3610               12.59                    
303500240       19951005   2970               11.72                    
303500240       19970228   1700                8.77                    
303500240       19980108   2630               11.19                    
303500240       19990123    869                5.40                    
303500240       20000404   1380                7.54                    
303500240       20010119   1230                6.94                    
303500240       20020927   1160                6.65                    
303500240       20030507   1730                8.87                    
303500240       20040917   64409              14.12                    
303500240       20050612   1500                8.02                    
303500240       20060118   1010                6.12                    
303500240       20061115    850                5.53                    
303500240       20080826   1340                7.40                    
303500240       20090921   2500               10.93                    
303500240       20091111   1600                8.34                    
303500240       20110416   1370                7.58                    
303500240       20111128   1240                7.16                    
303500240       20130130   2780               11.40                    
303500240       20131222   1380                7.63                    
303500240       20141014   1260                7.23                    
303500240       20151224   3250               12.09                    
303500240       20170423    648                4.66                    
