Z04027000                       USGS 
H04027000       4629120904146005555003SW04010302597            668.35           
N04027000       BAD RIVER NEAR ODANAH, WI
Y04027000       
304027000       19150516   3900                                        
304027000       19160422  12200                                        
304027000       19170421   4060                                        
304027000       19180601   8590                                        
304027000       19190410   6680                                        
304027000       19200324   8230                                        
304027000       19210428   8010                                        
304027000       19490704  16500               17.30                    
304027000       19500506  11700               14.00                    
304027000       19510429  12200               14.30                    
304027000       19520419  11500               13.90                    
304027000       19530701  13800               15.50                    
304027000       19540501  14600               16.05                    
304027000       19550410   6770               10.18                    
304027000       19560514   5500                9.29                    
304027000       19570420   5930                9.55                    
304027000       19580702   6410               10.00                    
304027000       19590601   3480                7.24                    
304027000       19600424  27700               21.70                    
304027000       19610516   6670                9.70                    
304027000       19620514   4970                8.34                    
304027000       19630402   7190               10.10                    
304027000       19640506   9660               11.90                    
304027000       19650423   6520               10.23                    
304027000       19660318   7110               10.65                    
304027000       19670402  11000               14.501                   
304027000       19680516   4840                8.84                    
304027000       19690410   8240               11.432                   
304027000       19700410   3990                7.98                    
304027000       19710412  10700               13.08                    
304027000       19720723   9250               12.10                    
304027000       19730315   800029             11.201                   
304027000       19740611   8190               11.36                    
304027000       19750424   6550               10.25                    
304027000       19760330   9910               12.122                   
304027000       19770831   7380               11.35                    
304027000       19780410   7170               10.56                    
304027000       19790421   8180               12.00                    
304027000       19800408   5580                9.78                    
304027000       19810330   7580               11.52                    
304027000       19820417   8480               12.20                    
304027000       19821121   7150               11.16                    
304027000       19840413   6350               10.49                    
304027000       19850930   6170               10.34                    
304027000       19860401  11500               14.66                    
304027000       19861012   3510                7.69                    
304027000       19880407   6360               10.532                   
304027000       19890417   4060                8.252                   
304027000       19900316   58002              13.061                   
304027000       19901018   6260               10.442                   
304027000       19920703  20100               18.41                    
304027000       19930502   4020                8.34                    
304027000       19940427   4760                9.11                    
304027000       19950510   5090                9.422                   
304027000       19960420  13000               14.75                    
304027000       19970406  11200               13.73                    
304027000       19980330  10100               13.00                    
304027000       19990406   5870               10.06                    
304027000       20000709   5540                                        
304027000       20010424  12400                                        
304027000       20020415  14700                                        
304027000       20030512  20600                                        
304027000       20040329   8020               11.30                    
304027000       20050724   6810               10.32                    
304027000       20051006   6930               10.42                    
304027000       20070327   5010                8.79                    
304027000       20080423   7650               11.00                    
304027000       20090425   2380                6.152                   
304027000       20100924   5350                9.092                   
304027000       20110411   7320               10.68                    
304027000       20120621   6480               10.89                    
304027000       20130521  12800               14.60                    
304027000       20140509  10100               12.65                    
304027000       20150317   3000                7.1312                   
304027000       20160712  40000               27.28                    
304027000       20170518  10700               13.28                    
