Z04040500                       USGS 
H04040500       4635030883433002626013SW04020104171            1214.52          
N04040500       STURGEON RIVER NEAR SIDNAW, MI
Y04040500       
304040500       19130424   31801                                       
304040500       19140429   30501                                       
304040500       19150417   14101                                       
304040500       19430507   3280               10.15                    
304040500       19440606   3160               10.18                    
304040500       19450327   2190                9.22                    
304040500       19460323   1040                7.45                    
304040500       19470501   2430                9.31                    
304040500       19480428    975                7.16                    
304040500       19490507   2430                9.28                    
304040500       19500510   2520                9.49                    
304040500       19510430   3670               10.35                    
304040500       19520420   3260               10.03                    
304040500       19530702   1960                8.41                    
304040500       19540416   2960                9.73                    
304040500       19550414   2500                9.22                    
304040500       19560412   1170                7.24                    
304040500       19570421   3670               10.40                    
304040500       19580417   1630                7.89                    
304040500       19590418   2120                8.68                    
304040500       19600424   4630               11.63                    
304040500       19610422   2080                8.63                    
304040500       19620426   1330                7.48                    
304040500       19630404   2460                9.15                    
304040500       19640418   2180                8.77                    
304040500       19650509   2840                9.63                    
304040500       19660425   2170                8.76                    
304040500       19670418   2360                9.02                    
304040500       19680716   3070                9.76                    
304040500       19690417   2260                8.75                    
304040500       19700428    930                6.76                    
304040500       19710419   2500                8.80                    
304040500       19720502   2890                9.04                    
304040500       19730510   2130                8.20                    
304040500       19740423   1800                8.12                    
304040500       19750505   1850                8.18                    
304040500       19760417   2680                8.81                    
304040500       19770416   2240                8.32                    
304040500       19780429   1470                7.56                    
304040500       19790426   3320                9.52                    
304040500       19800422   1390                7.37                    
304040500       19810404   1680                7.64                    
304040500       19820426   2760                8.90                    
304040500       19830428   1830                7.82                    
304040500       19840415   1750                7.72                    
304040500       19850420   4570               11.07                    
304040500       19851005   2170                8.63                    
304040500       19870813   1130                7.01                    
304040500       19880408   2080                8.42                    
304040500       19890426   1530                7.67                    
304040500       19900316   1430                7.51                    
304040500       19910409   2020                8.35                    
304040500       19920422   2210                8.58                    
304040500       19930505   1120                7.00                    
304040500       19940427   1330                7.35                    
304040500       19950425    808                6.37                    
304040500       19960520   2430                8.84                    
304040500       19970406   1730                7.96                    
304040500       19980330   1880                8.16                    
304040500       19990526   2800                9.25                    
304040500       20000327   1090                6.93                    
304040500       20010416   1960                8.25                    
304040500       20020417   4990               11.44                    
304040500       20030512   2710                9.15                    
304040500       20040420   3270                9.68                    
304040500       20050407   2490                8.71                    
304040500       20051007   1580                7.50                    
304040500       20070328   1330                7.12                    
304040500       20080423   2520                8.79                    
304040500       20090425   1710                7.73                    
304040500       20100925   1650                7.63                    
304040500       20110412   1620                7.56                    
304040500       20120320   1860                7.89                    
304040500       20130501   3600                9.98                    
304040500       20140510   1680                7.84                    
304040500       20150414   1720                7.90                    
304040500       20160316   1150                6.97                    
304040500       20170411   1170                7.00                    
304040500       20180503   1500                7.54                    
304040500       20190422   3980               10.12                    
