Z04122200                       USGS 
H04122200       4327510861357002626121SW04060101406            593.81           
N04122200       WHITE RIVER NEAR WHITEHALL, MI
Y04122200       
304122200       19571117    6001                                       
304122200       19590404   1790                5.94                    
304122200       19600331   1910                6.06                    
304122200       19601117   1070                5.06                    
304122200       19620326   1030                5.00                    
304122200       19630501   1360                5.48                    
304122200       19640502    680                4.172                   
304122200       19650911   1540                5.66                    
304122200       19660211   1300                6.14                    
304122200       19670417   3740                6.76                    
304122200       19680203   1300                5.88                    
304122200       19690628   2070                5.90                    
304122200       19700422    843                4.472                   
304122200       19710316   1900                5.78                    
304122200       19720323   1760                5.67                    
304122200       19730102   1310                5.51                    
304122200       19740517   3120                6.46                    
304122200       19750901   5400                7.46                    
304122200       19760305   4750                7.20                    
304122200       19770313   1440                5.37                    
304122200       19780402   1220                4.93                    
304122200       19790401   20002                                       
304122200       19800821   2040                5.95                    
304122200       19810220   1300                5.05                    
304122200       19820417   2700                6.38                    
304122200       19821204   1730                5.63                    
304122200       19840215   1530                5.38                    
304122200       19850225   2120                6.02                    
304122200       19860913   4990                7.33                    
304122200       19861005   1720                5.80                    
304122200       19880407   1150                4.842                   
304122200       19890601   2260                6.08                    
304122200       19900313   1450                5.25                    
304122200       19910329   1920                5.68                    
304122200       19911201   1590                5.39                    
304122200       19930421   1480                5.28                    
304122200       19940222   120012              6.271                   
304122200       19950116   1150                4.82                    
304122200       19960229   1180                4.90                    
304122200       19970223   1290                5.082       1997          
304122200       19980402   1570                5.37                    
304122200       19990213    956                4.302                   
304122200       20000520    996                4.41                    
304122200       20010517   2230                5.92                    
304122200       20020310   1850                5.62                    
304122200       20030320    677                3.35                    
304122200       20040509   2850                6.33                    
304122200       20050114   1670                5.42                    
304122200       20060314   1570                5.32                    
304122200       20070323   2020                5.74                    
304122200       20080610   1330                5.06                    
304122200       20081229   180012                                      
304122200       20100313   1300                5.02                    
304122200       20110405   2220                5.91                    
304122200       20120314   1110                4.50                    
304122200       20130419   2270                5.952                   
304122200       20140414   3840                6.86                    
304122200       20150410   3400                6.64                    
304122200       20160402   1660                5.43                    
304122200       20170119   1190                4.56                    
304122200       20180221   3370                6.62                    
304122200       20190315   3260                6.73                    
