Z04185000                       USGS 
H04185000       4130160842547003939171SW04100006410    410.    684.31           
N04185000       Tiffin River at Stryker OH
Y04185000       
304185000       191303     76007Bd            16.003Bd                   
304185000       19220401   4820               13.003                   
304185000       19230317   3650               12.233                   
304185000       19240307   4820               12.973                   
304185000       19250316   3650               12.203                   
304185000       19260227   4220               12.603                   
304185000       19270208   2140               10.903                   
304185000       19271215   4970               13.103                   
304185000       1937       600027Bm           15.00356Bm                   
304185000       19410101   1140                9.243                   
304185000       19420310   3280               12.5023                   
304185000       19430520   5060               14.203                   
304185000       19440412   3800               13.503                   
304185000       19450518   5690               14.803                   
304185000       19460217   1450               10.213                   
304185000       19470422   5160               14.433                   
304185000       19480301   3080               12.973                   
304185000       19490216   4240               13.813                   
304185000       19500425   6640               15.453                   
304185000       19510222   4950               14.313                   
304185000       19520117   3460               13.063                   
304185000       19530306   1650               10.963                   
304185000       19540327   2680               12.856                   
304185000       19550108   2360               12.51                    
304185000       19560501   6040               16.16                    
304185000       19570413   1670               11.48                    
304185000       19580718   2630               13.04                    
304185000       19590215   26002              13.931                   
304185000       19600115   3180               13.68                    
304185000       19610427   3330               13.75                    
304185000       19620314   3160               13.54                    
304185000       19630317   13001              11.631                   
304185000       19640405    557                6.91                    
304185000       19650212   2780               13.35                    
304185000       19651227   3150               13.89                    
304185000       19661210   3260               14.06                    
304185000       19671223   3250               14.76                    
304185000       19690131   4720               15.47                    
304185000       19700307   1850               12.31                    
304185000       19710221   2950               13.77                    
304185000       19720317   1770               11.64                    
304185000       19721117   1780               12.49                    
304185000       19740124   3510               14.36                    
304185000       19750226   2560               13.37                    
304185000       19760218   4980               15.83                    
304185000       19770424   2790               13.67                    
304185000       19780323   5900               16.36                    
304185000       19790306   2210               12.87                    
304185000       19800319   2460               13.22                    
304185000       19810221   3660               14.66                    
304185000       19820315   7800               18.36                    
304185000       19830504   4500               15.09                    
304185000       19840215   3990               14.61                    
304185000       19850225   6260               16.47                    
304185000       19860222   3200               14.19                    
304185000       19861004   3390               14.27                    
304185000       19880407   2150               12.20                    
304185000       19890604   5380               16.19                    
304185000       19900224   5030               15.87                    
304185000       19901231   5280               16.10                    
304185000       19920726   1560               11.23                    
304185000       19930106   4870               15.70                    
304185000       19940222   2800               13.32                    
304185000       19950412   2170               12.44                    
304185000       19960620   4350               15.16                    
304185000       19970223   3400               14.04                    
304185000       19980825   5110               15.93                    
304185000       19990125   5060               15.88                    
304185000       20000628   2740               13.24                    
304185000       20010212   4110               15.38                    
304185000       20020514   4120               15.21                    
304185000       20030316   33002              14.205                   
304185000       20040615   1750               12.82                    
304185000       20050115   4150               15.10                    
304185000       20060314   3260               14.20                    
304185000       20070428   2430               13.36                    
304185000       20080208   5130               16.05                    
304185000       20090312   8290               18.07                    
304185000       20100524   3720               14.83                    
304185000       20110429   3590               14.70                    
304185000       20111201   7370               17.52                    
304185000       20130421   2730               13.76                    
304185000       20140322   3340               14.44                    
304185000       20150629   5380               16.88                    
304185000       20160504   1100               10.88                    
304185000       20170408   3180               14.72                    
304185000       20180222   4710               16.31                    
304185000       20190504   3100               14.61                    
